code,description
D-170,TO ALLOW WITHDRAWAL THERAPY OF PATIENTS WITH PHILADELPHIA CHROMOSOME POSITIVE CHRONIC MYELOID LEUKEMIA IN CHRONIC PHASE WHO HAVE ACHIEVED A SUSTAINED MOLECULAR RESPONSE ON NILOTINIB THERAPY FOR A MINIMUM OF ONE YEAR PRIOR TO DISCONTINUATION
I-217,"PREVENTION (DURING AND FOLLOWING HOSPITALIZATION) OF DEEP VEIN THROMBOSIS, WHICH MAY LEAD TO PULMONARY EMBOLISM, IN PATIENTS UNDERGOING HIP REPLACEMENT SURGERY"
ODE-38,PART OF COMBINATION THERAPY IN ADULTS (GREATER THAN OR EQUAL TO 18 YEARS) WITH PULMONARY MULTI-DRUG RESISTANT TUBERCULOSIS (MDR-TB)
I-111,TREATMENT OF PAGETS DISEASE OF BONE
I-502,"FOR PTS WITH ST-SEGMENT ELEVATION ACUTE MYOCARDIAL INFARCTION, PLAVIX TO REDUCE RATE OF DEATH FROM ANY CAUSE AND THE RATE OF A COMBINED ENDPOINT OF DEATH, REINFARCTION OR STROKE. NOT KNOWN TO PERTAIN TO PTS WHO RECEIVE PRIMARY ANGIOPLASTY"
I-593,TREATMENT OF TREATMENT RESISTANT DEPRESSION (TRD)
I-1,DYSMENORRHEA
I-124,LEUKOCYTE LABELED SCINTIGRAPHY AS AN ADJUNCT IN THE LOCALIZATION OF INTRA-ABDOMINAL INFECTION AND INFLAMMATORY BOWEL DISEASE
M-125,LABELING CHANGES TO INCLUDE LACK OF EFFICACY IN CHILDREN 6 MONTHS TO 4 YEARS OF AGE
I-672,"USE IN PATIENTS WITH MANTLE CELL LYMPHOMA WHOSE DISEASE HAS RELAPSED OR PROGRESSED AFTER TWO PRIOR THERAPIES, ONE OF WHICH INCLUDED BORTEZOMIB"
I-891,"TREATMENT OF COVID-19 IN HOSPITALIZED ADULTS REQUIRING SUPPLEMENTAL OXYGEN, NONINVASIVE OR INVASIVE MECHANICAL VENTILATION, OR EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)"
ODE-299,INDICATED FOR THE TREATMENT OF ADULTS AND PEDIATRIC PATIENTS AGED 16 YEARS AND OLDER WITH METASTATIC OR LOCALLY ADVANCED EPITHELIOID SARCOMA NOT ELIGIBLE FOR COMPLETE RESECTION
M-146,INFORMATION ADDED TO THE CLINICAL STUDIES SECTION ON INITIAL COMBINATION THERAPY WITH LINAGLIPTIN AND METFORMIN VS. LINAGLIPTIN MONOTHERAPY IN TREATMENT NAIVE PATIENTS
I-488,MAINTENANCE THERAPY IN BIPOLAR I DISORDER
I-605,ADJUNCT TO MOOD STABILIZERS AND/OR ANTIDEPRESSANTS FOR SCHIZOAFFECTIVE DISORDER
I-386,RAPAMUNE (SIROLIMUS) WITHIN AN IMMUNOSUPPRESSIVE REGIMEN THAT WOULD ALLOW FOR THE WITHDRAWAL OF CYCLOSPORINE 2 TO 4 MONTHS AFTER RENAL TRANSPLANTATION IN PATIENTS CONSIDERED AT LOW TO MODERATE IMMUNOLOGIC RISK FOR RENAL TRANSPLANT REJECTION
ODE-211,"INDICATED IN COMBO WITH AZACITIDINE, OR DECITABINE, OR LOW-DOSE CYTARABINE FOR THE TX OF NEWLY-DIAGNOSED ACUTE MYELOID LEUKEMIA IN ADULTS WHO ARE AGE 75 YEARS OR OLDER, OR WHO HAVE COMORBIDITIES THAT PRECLUDE USE OF INTENSIVE INDUCTION CHEMOTHERAPY"
I-191,ENDOMETRIAL THINNING AGENT PRIOR TO ENDOMETRIAL ABLATION FOR DYSFUNCTIONAL UTERINE BLEEDING
I-542,EXPANSION OF PATIENT POPULATION FOR HEAD AND NECK CANCER FROM INOPERABLE PATIENTS TO ALL PATIENTS
M-273,REVISION TO THE LABELING TO INCLUDE RESULTS FROM CLINICAL STUDY 207966 ATLAS-2M
I-148,TREATMENT OF ACUTE PNEUMOCYSTIS CARINI PNEUMONIA (PCP) IN HIV-INFECTED PATIENTS WHOSE ALVEOLAR-ARTERIAL OXYGEN DIFFERENCE (AaDO2) IS LESS THAN OR EQUAL TO 55 TORR
M-77,"USE IN COMBINATION WITH THE NEW AKTILITE CL128 LAMP FOR THE TREATMENT OF THIN AND MODERATELY THICK, NON-HYPERKERATOTIC, NON-PIGMENTED ACTINIC KERATOSES OF THE FACE AND SCALP IN IMMUNOCOMPETENT PATIENTS"
I-640,MAINTENANCE OF REMISSION OF ULCERATIVE COLITIS
ODE-79,TREATMENT OF PATIENTS WITH POLYCYTHEMIA VERA WHO HAVE HAD AN INADEQUATE RESPONSE TO OR ARE INTOLERANT OF HYDROXYUREA
M-42,ADDITION OF A GERIATRIC USE SUBSECTION TO THE PRECAUTIONS SECTION OF THE PACKAGE INSERT AND GERIATRIC DOSING INFORMATION
I-268,PROPHYLAXIS AND CHRONIC TREATMENT OF ASTHMA IN PATIENTS 7-11 YEARS OF AGE
ODE-336,"INDICATED FOR CHRONIC WEIGHT MANAGEMENT IN ADULT AND PEDIATRIC PATIENTS 6 YEARS OF AGE AND OLDER WITH OBESITY DUE TO PROOPIOMELANOCORTIN (POMC), PROPROTEIN CONVERTASE SUBTILISIN/KEXIN TYPE 1 (PCSK1), OR LEPTIN RECEPTOR (LEPR) DEFICIENCY CONFIRMED BY GENETIC TESTING DEMONSTRATING VARIANTS IN POMC, PCSK1, OR LEPR GENES THAT ARE INTERPRETED AS PATHOGENIC, LIKELY PATHOGENIC, OR OF UNCERTAIN SIGNIFICANCE (VUS)"
D-40,ONCE-A-DAY DOSING REGIMEN
I-151,PREVENTION OF AND PREVENTION OF FURTHER POSTOPERATIVE NAUSEA AND VOMITING IN PEDIATRIC PATIENTS RECEIVING GENERAL ANESTHESIA
I-748,TO REDUCE THE ACUTE COMPLICATIONS OF SICKLE CELL DISEASE IN ADULT AND PEDIATRIC PATIENTS FIVE YEARS OF AGE AND OLDER
I-350,"TREATMENT OF HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA IN ADOLESCENT BOYS AND GIRLS AT LEAST ONE YEAR POSTMENARCHAL, AGES 10 TO 17 YEARS, WITH A RECOMMENDED DOSING RANGE OF 10 TO 40MG ONCE DAILY"
I-145,0.1MMOL/KG AS A SINGLE INTRAVENOUS BOLUS FOR MRI OF THE CNS IN CHILDREN
ODE-201,INDICATED FOR THE RADICAL CURE (PREVENTION OF RELAPSE) OF PLASMODIUM VIVAX MALARIA IN PATIENTS AGED 16 YEARS AND OLDER WHO ARE RECEIVING APPROPRIATE ANTIMALARIAL THERAPY FOR ACUTE P. VIVAX INFECTION
ODE-104,"EMERGENCY TX OF PTS FOLLOWING A FU OR CAPECITABINE OD, OR WHO EXHIBIT EARLY-ONSET, SEVERE OR LIFE-THREATENING TOXICITY AFFECTING THE CARDIAC SYSTEM OR CNS, AND/OR EARLY-ONSET, UNUSUALLY SEVERE AR W/IN 96 HRS FOLLOWING THE END OF FU OR CAPECITABINE ADMIN."
I-223,USE IN THE SYMPTOMATIC RELIEF OF RHINORRHEA ASSOCIATED WITH ALLERGIC AND NONALLERGIC-PERENNIAL RHINITIS IN CHILDREN AGE 6-11 YEARS
I-785,TREATMENT OF PATIENTS WITH CUSHINGS DISEASE FOR WHOM PITUITARY SURGERY IS NOT AN OPTION OR HAS NOT BEEN CURATIVE
I-73,INITIATE AND MAINTAIN MONITORED ANESTHESIA CARE (MAC) SEDATION DURING DIAGNOSTIC PROCEDURES
M-163,INFORMATION ADDED TO THE LABELING REGARDING PREVIOUSLY UNTREATED ALK-POSITIVE METASTATIC NON SMALL CELL LUNG CANCER (NSCLC)
I-707,"POMALYST, IN COMBINATION WITH DEXAMETHASONE, IS INDICATED FOR PATIENTS WITH MULTIPLE MYELOMA WHO HAVE RECEIVED AT LEAST 2 PRIOR THERAPIES AND HAVE DEMONSTRATED DISEASE PROGRESSION ON OR WITHIN 60 DAYS OF COMPLETION OF THE LAST THERAPY"
M-226,CHANGES TO THE LABELING BASED ON RESULTS FROM A CONTROLLED CLINICAL TRIAL IN PATIENTS WITH LATER-ONSET SPINAL MUSCULAR ATROPHY
ODE-262,"TREATMENT OF PEDIATRIC PATIENTS BETWEEN 3 YEARS OF AGE AND 12 YEARS OF AGE OR WEIGHING 35 KG WITH CHRONIC HEPATITIS C VIRUS (HCV) GENOTYPE 1, 4, 5, OR 6 INFECTION WITHOUT CIRRHOSIS OR WITH COMPENSATED CIRRHOSIS"
ODE-270,INDICATED TO INCREASE PAIN FREE LIGHT EXPOSURE IN ADULT PATIENTS WITH A HISTORY OF PHOTOTOXIC REACTIONS FROM ERYTHROPOIETIC PROTOPORPHYRIA (EPP)
I-152,SLOWING THE PROGRESSION OF CORONARY ATHEROSCLEROSIS AND REDUCING THE RISK OF ACUTE CORONARY EVENTS
ODE-392,TREATMENT OF HEMOLYTIC ANEMIA IN ADULTS WITH PYRUVATE KINASE (PK) DEFICIENCY
I-749,"MONOTHERAPY FOR THE TREATMENT OF HORMONE RECEPTOR (HR) POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2)-NEGATIVE, ADVANCED BREAST CANCER IN POSTMENOPAUSAL WOMEN NOT PREVIOUSLY TREATED WITH ENDOCRINE THERAPY"
I-475,PREVENTION OF NAUSEA AND VOMITING ASSOCIATED WITH INITIAL AND REPEAT COURSES OF MODERATELY EMETOGENIC CANCER CHEMOTHERAPY
ODE-226,"MAINTENANCE TREATMENT OF ADULTS WITH DELETERIOUS OR SUSPECTED DELETERIOUS GERMLINE OR SOMATIC BRCA-MUTATED ADVANCED EPITHELIAL OVARIAN, FALLOPIAN TUBE, OR PRIMARY PERITONEAL CANCER IN COMPLETE OR PARTIAL RESPONSE TO FIRST-LINE PLATINUM-BASED CHEMOTHERAPY"
I-915,TREATMENT OF IRON DEFICIENCY IN ADULT PATIENTS WITH HEART FAILURE AND NEW YORK HEARTASSOCIATION CLASS II/III TO IMPROVE EXERCISE CAPACITY
M-277,"UPDATES THE US PRESCRIBING INFORMATION WITH CLINICAL DATA REGARDING THE USE OF SOFOSBUVIR AND VELPATASVIR FOR THE TREATMENT OF CHRONIC HCV GENOTYPE 1, 2, 3, 4, 5, OR 6 INFECTION IN PEOPLE WHO INJECT DRUGS (PWID), INCLUDING THOSE ON MEDICATION-ASSISTED TREATMENT (MAT) FOR OPIOID USE DISORDER"
I-693,TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER (CRPC)
I-687,"GUIDING SENTINEL LYMPH NODE BIOPSY, USING A HAND-HELD GAMMA COUNTER IN PATIENTS WITH CLINICALLY NODE NEGATIVE SQUAMOUS CELL CARCINOMA OF THE ORAL CAVITY"
D-136,"ALTERNATE DOSING REGIMEN FOR UNCOMPLICATED URETHRAL OR ENDOCERVICAL INFECTION CAUSED BY CHLAMYDIA TRACHOMATIS, ADMINISTER 200 MG BY MOUTH ONCE-A-DAY FOR 7 DAYS"
I-334,LONG-TERM TREATMENT OF GROWTH FAILURE IN CHILDREN BORN SMALL FOR GESTATIONAL AGE WHO FAIL TO MANIFEST CATCH-UP GROWTH BY TWO YEARS OF AGE
M-147,OTC USE FOR TEMPORARY RELIEF OF OCULAR SYMPTOMS DUE TO HAY FEVER OR OTHER UPPER RESPIRATORY ALLERGIES
NR,NEW ROUTE
I-894,"DABRAFENIB IS INDICATED IN COMBINATION WITH TRAMETINIB, FOR THE TREATMENT OF ADULT AND PEDIATRIC PATIENTS 6 YEARS OF AGE AND OLDER WITH UNRESECTABLE OR METASTATIC SOLID TUMORS WITH BRAF V600E MUTATION WHO HAVE PROGRESSED FOLLOWING PRIOR TREATMENT AND HAVE NO SATISFACTORY ALTERNATIVE TREATMENT OPTIONS"
I-890,TREATMENT OF ADULT PATIENTS WITH SEVERE ALOPECIA AREATA
I-195,FOR USE OF LANSOPRAZOLE IN COMBINATION WITH CLARITHROMYCIN AND AMOXICILLIN FOR THE ERADICATION OF HELICOBACTER PYLORI IN PATIENTS WITH ACTIVE DUODENAL ULCER DISEASE OR A ONE-YEAR HISTORY OF DUODENAL ULCER
ODE-65,TREATMENT OF PATIENTS WITH ACUTE LYMPHOBLASTIC LEUKEMIA AS PART OF A COMBINATION REGIMEN.
I-657,PLAQUE PSORIASIS OF THE SCALP
M-173,INFORMATION ADDED TO THE CLINICAL STUDIES SECTION OF THE LABELING DESCRIBING THE EFFECTS OF STIOLTO RESPIMAT ON COPD PATIENTS
ODE-86,TREATMENT OF PATIENTS WITH WALDENSTROMS MACROGLOBULINEMIA
I-84,INTRAOPERATIVE AND POSTOPERATIVE TACHYCARDIA AND/OR HYPERTENSION
I-361,"TREATMENT OF MULTIPLE MYELOMA AND DOCUMENTED BONE METASTASES FROM SOLID TUMORS, IN CONJUNCTION WITH STANDARD ANTINEOPLASTIC THERAPY. PROSTATE CANCER SHOULD HAVE PROGRESSED AFTER TREATMENT WITH AT LEAST ONE HORMONAL THERAPY"
ODE-127,TREATMENT OF SPINAL MUSCULAR ATROPHY IN PEDIATRIC AND ADULT PATIENTS
M-30,"CHANGES TO CLINICAL PHARMACOLOGY, PRECAUTIONS, AND DOSAGE AND ADMINISTRATION SECTIONS OF LABELING CONCERNING USE OF LOTENSIN IN PEDIATRIC PATIENTS WITH HYPERTENSION"
ODE-291,INDICATED FOR THE TREATMENT OF ADULT PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WHOSE TUMORS HAVE A MUTATION THAT LEADS TO MESENCHYMAL-EPITHELIAL TRANSITION (MET) EXON 14 SKIPPING AS DETECTED BY AN FDA-APPROVED TEST
ODE-339,TREATMENT OF PRIMARY HYPEROXALURIA TYPE 1 (PH1) TO LOWER URINARY OXALATE LEVELS IN PEDIATRIC AND ADULT PATIENTS
I-825,TREATMENT FOR CHRONIC FIBROSING INTERSTITIAL LUNG DISEASES WITH A PROGRESSIVE PHENOTYPE
ODE-53,"TREATMENT OF ADULTS WITH PULMONARY ARTERIAL HYPERTENSION (PAH) WHO GROUP 1, TO IMPROVE EXERCISE CAPACITY, WHO FUNCTIONAL CLASS AND TO DELAY CLINICAL WORSENING."
ODE-125,INDICATED IN PEDIATRIC PATIENTS 10 YEARS AND OLDER FOR THE PREVENTION AND TREATMENT OF SECONDARY HYPERPARATHYROIDISM ASSOCIATED WITH CHRONIC KIDNEY DISEASE (CKD) STAGES 3 AND 4  AND CKD STAGE 5 IN PATIENTS ON HEMODIALYSIS OR PERITONEAL DIALYSIS
ODE-81,TREATMENT OF PATIENTS  WITH ACROMEGALY WHO HAVE HAD AN INADEQUATE RESPONSE TO SURGERY AND/OR FOR WHOM SURGERY IS NOT AN OPTION
ODE-397,TREATMENT OF ADULTS WITH INTERMEDIATE OR HIGH-RISK PRIMARY OR SECONDARY (POST-POLYCYTHEMIA VERA OR POST-ESSENTIAL THROMBOCYTHEMIA) MYELOFIBROSIS (MF) WITH A PLATELET COUNT BELOW 50 X 10^9/L
M-142,ADDITIONS TO THE LABELING DESCRIBING RESULTS FROM STUDY H6P-MC-HDAY
I-181,TREATMENT OF PATIENTS WITH COMPLEX PARTIAL SEIZURES WITH AND WITHOUT SECONDARY GENERALIZATION
I-552,ADJUNCTIVE TREATMENT FOR RADIOIODINE ABLATION OF THYROID TISSUE REMNANTS IN PATIENTS WHO HAVE UNDERGONE THYROIDECTOMY FOR WELL-DIFFERENTIATED THYROID CANCER AND WHO DO NOT HAVE EVIDENCE OF METASTATIC THYROID CANCER
I-607,INDICATION EXPANDED TO INCLUDE TREATMENT OF PULMONARY ARTERIAL HYPERTENSION (WHO GROUP I) IN PATIENTS WITH CLASS II SYMPTOMS
I-632,MANAGEMENT OF CHRONIC MUSCULOSKELETAL PAIN
I-403,USE OF VALTREX IN COMBINATION WITH SAFER SEX PRACTICES FOR THE REDUCTION OF THE RISK OF TRANSMISSION OF GENITAL HERPES DURING SUPPRESSIVE THERAPY OF THE SOURCE PARTNER IN A HETEROSEXUAL COUPLE
ODE-166,"TREATMENT OF SOMATOSTATIN RECEPTOR-POSITIVE GASTROENTEROPANCREATIC NEUROENDOCRINE TUMORS (GEP-NETS) INCLUDING FOREGUT, MIDGUT, AND HINDGUT NEUROENDOCRINE TUMORS IN ADULTS"
I-655,"TREATMENT OF POSTMENOPAUSAL WOMEN WITH ADVANCED HORMONE RECEPTOR-POSITIVE,HER2-NEGATIVE BREAST CANCER (ADVANCED HR+BC) IN COMBINATION WITH EXEMESTANE, AFTER FAILURE OF TREATMENT WITH LETROZOLE OR ANASTROZOLE"
M-122,LABELING CHANGES TO INCLUDE THE RESULTS OF THE PARAMOUNT TRIAL
D-156,DOSING INFORMATION ADDED TO THE LABELING PROVIDING INFORMATION ON TRANSITIONING FROM SUBCUTANEOUS OR INTRAVENOUS ROUTES OF ADMINISTRATION OF TREPROSTINIL
I-573,TO TREAT PATIENTS WITH PRIMARY DYSBETALIPOPROTEINEMIA (FREDRICKSON TYPE III HYPERLIPOPROTEINEMIA) AS AN ADJUNCT TO DIET
ODE-160,"FOR TREATMENT OF SCURVY IN ADULT AND PEDIATRIC PATIENTS AGE 5 MONTHS AND OLDER FOR WHOM ORAL ADMINISTRATION IS NOT POSSIBLE, INSUFFICIENT OR CONTRAINDICATED"
M-46,PROVISION OF RESULTS OF STUDY AND PROPOSED REVISIONS TO PACKAGE INSERT SEE SECTION ON CARDIAC ELECTROPHYSIOLOGY
I-322,USE OF DIPRIVAN IN PATIENTS 3 MONTHS TO 16 YEARS
ODE-254,INDICATED TO IMPROVE WAKEFULNESS IN ADULT PATIENTS WITH EXCESSIVE DAYTIME SLEEPINESS ASSOCIATED WITH NARCOLEPSY
ODE-1,TO REDUCE CHRONIC DROOLING IN PATIENTS AGED 3 - 16 WITH NEUROLOGIC CONDITIONS ASSOCIATED WITH PROBLEM DROOLING (E.G. CEREBRAL PALSY)
I-380,TO TREAT PATIENTS WITH SCHIZOPHRENIA OR SCHIZOAFFECTIVE DISORDER AT RISK FOR EMERGENT SUICIDAL BEHAVIOR
I-513,ADULT AGGRESSIVE SYSTEMIC MASTOCYTOSIS (ASM)
D-18,LOWER RECOMMENDED STARTING DOSE GUIDELINES
I-46,USE IN PEDIATRIC COMPUTED TOMOGRAPHIC HEAD AND BODY IMAGING
I-503,TREATMENT OF MAJOR DEPRESSIVE EPISODES ASSOCIATED WITH BIPOLAR DISORDER
I-826,"ENCORAFENIB, IN COMBINATION WITH CETUXIMAB, FOR THE TREATMENT OF ADULTPATIENTS WITH METASTATIC COLORECTAL CANCER WITH A BRAF V600E MUTATION, AS DETECTED BY AN FDA-APPROVED TEST, AFTER PRIOR THERAPY"
I-161,TREATMENT OF ADULT-ONSET OR CHILDHOOD-ONSET ADULT GROWTH HORMONE DEFICIENCY
I-807,"TREATMENT OF ADVANCED ENDOMETRIAL CARCINOMA THAT IS NOT MICROSATELLITE INSTABILITY-HIGH OR MISMATCH REPAIR DEFICIENT, WHO HAVE DISEASE PROGRESSION FOLLOWING PRIOR SYSTEMIC THERAPY AND ARE NOT CANDIDATES FOR CURATIVE SURGERY OR RADIATION"
I-118,"PREVENTION OF DEEP VEIN THROMBOSIS, WHICH MAY LEAD TO PULMONARY EMBOLISM FOLLOWING KNEE REPLACEMENT SURGERY"
D-23,INCREASE MAXIMUM DOSE AND VARIATIONS IN THE DOSING REGIMEN
I-318,FIRSTLINE TREATMENT OF POSTMENOPAUSAL WOMEN WITH HORMONE RECEPTOR POSITIVE OR HORMONE RECEPTOR UNKNOWN LOCALLY ADVANCED OR METASTATIC BREAST CANCER
D-162,DOSING TO INCLUDE PATIENTS WITH CHRONIC HCV GENOTYPE 1 INFECTION WITH COMPENSATED (CHILD-PUGH A) OR DECOMPENSATED (CHILD-PUGH B OR C) CIRRHOSIS AND TREATMENT OF CHRONIC HCV GENOTYPE 3 INFECTION IN SUBJECTS WITH DECOMPENSATED (CHILD-PUGH B OR C) CIRRHOSIS
M-294,INFORMATION ADDED TO THE LABELING REGARDING THE RESULT OF STUDY 205860
M-198,"PACKAGE INSERT UPDATED WITH RESULTS FROM STUDY CV181168, A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL GROUP, PHASE 3 TRIAL TO EVALUATE THE SAFETY AND EFFICACY OF SAXAGLIPTIN ADDED TO DAPAGLIFLOZIN AND METFORMIN"
ODE-164,TREATMENT OF PEDIATRIC PATIENTS WITH PHILADELPHIA CHROMOSOME-POSITIVE (PH+) CHRONIC MYELOID LEUKEMIA (CML) IN CHRONIC PHASE
I-734,EXPANDED INDICATION FOR THE USE OF LENVIMA IN COMBINATION WITH EVEROLIMUS FOR THE TREATMENT OF PATIENTS WITH ADVANCED RCC FOLLOWING ONE PRIOR ANTI-ANGIOGENIC THERAPY.
I-5,HYSTEROSALPINGOGRAPHY
I-880,TREATMENT OF ADULTS WITH ACTIVE PSORIATIC ARTHRITIS WHO HAVE HAD AN INADEQUATE RESPONSE OR INTOLERANCE TO ONE OR MORE TNF BLOCKERS
I-104,TREATMENT OF PULMONARY AND EXTRAPULMONARY ASPERGILLOSIS IN PATIENTS WHO ARE INTOLERANT OF OR WHO ARE REFRACTORY TO AMPHOTERICIN B THERAPY
I-182,TREATMENT OF GROWTH FAILURE ASSOCIATED WITH TURNER SYNDROME
ODE-287,TREATMENT OF ADULTS WITH NEWLY DIAGNOSED THERAPY-RELATED ACUTE MYELOID LEUKEMIA (T-AML) OR AML WITH MYELODYSPLASIA-RELATED CHANGES (AML-MRC)
I-144,ENHANCEMENT OF MRI OF THE ADULT BODY INTERNAL ORGANS
I-533,ACUTE ST-SEGMENT ELEVATION MYOCARDIAL INFARCTION (STEMI)
ODE-217,INDICATED FOR THE TREATMENT OF PATIENTS WITH ANAPLASTIC LYMPHOMA KINASE (ALK)-POSITIVE METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WHOSE DISEASE HAS PROGRESSED ON CRIZOTINIB AND AT LEAST ONE OTHER ALK INHIBITOR FOR METASTATIC DIESASE
ODE-250,INDICATED FOR THE TREATMENT OF ADULT PATIENTS WITH SYMPTOMATIC TENOSYNOVIAL GIANT CELL TUMOR (TGCT) ASSOCIATED WITH SEVERE MORBIDITY OR FUNCTIONAL LIMITATIONS AND NOT AMENABLE TO IMPROVEMENT WITH SURGERY
I-811,"TREATMENT OF ACUTE UNCOMPLICATED INFLUENZA IN PATIENTS 12 YEARS OF AGE OR OLDER, WHO HAVE BEEN SYMPTOMATIC FOR NO MORE THAN 48 HOURS AND ARE AT HIGH RISK OF DEVELOPING INFLUENZA-RELATED COMPLICATIONS"
I-142,LOCALIZE MYOCARDIAL ISCHEMIA(REVERSIBLE DEFECT) AND INFARCTION (NON-REVERSIBLE DEFECTS) IN EVALUATING MYOCARDIAL FUNCTION
ODE-337,"FOR ADJUVANT THERAPY AFTER TUMOR RESECTION IN ADULT PATIENTS WITH NON-SMALL CELL LUNG CANCER (NSCLC) WHOSE TUMORS HAVE EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) EXON 19 DELETIONS OR EXON 21 L858R MUTATIONS, AS DETECTED BY AN FDA-APPROVED TEST"
I-297,SHORT-TERM TREATMENT OF ACUTE MANIC EPISODES ASSOCIATED WITH BIPOLAR I DISORDER
I-804,EXPANDED INDICATION FOR USE AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS
ODE-271,INDICATED IN COMBINATION WITH OTHER ANTI-MYELOMA PRODUCTS FOR THE TREATMENT OF ADULTS WITH MULTIPLE MYELOMA (MM)
ODE-300,"FOR THE TREATMENT OF ADULT PATIENTS WITH ANAPLASTIC LYMPHOMA KINASE (ALK)-POSITIVE METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) AS DETECTED BY AN FDA-APPROVED TEST, NOT INCLUDING PATIENTS WHO HAVE PROGRESSED ON OR ARE INTOLERANT TO CRIZOTINIB"
I-300,PROPHYLAXIS FOR ASTHMA IN CHILDREN 2-5 YEARS OF AGE
M-202,INCLUSION OF DATA FROM THE SUMMIT STUDY FOR BREO ELLIPTA (FLUTICASONE FUROATE/VILANTEROL TRIFENATATE) INHALATION POWDER IN THE PACKAGE INSERT.
I-254,PREVENTION OF POSTMENOPAUSAL OSTEOPOROSIS (LOSS OF BONE MASS)
I-635,ADJUNCTIVE TREATMENT WITH LONG-ACTING ORAL PSYCHOSTIMULANTS FOR THE TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD)
ODE-108,"TREATMENT OF ADULT PATIENTS WITH PROGRESSIVE, WELL-DIFFERENTIATED, NON-FUNCTIONAL, NEUROENDOCRINE TUMORS (NET) OF GASTROINTESTINAL (GI) OR LUNG ORIGIN, (EXCLUDING PANCREATIC) WITH UNRESECTABLE, LOCALLY ADVANCED OR METASTATIC DISEASE"
I-659,PLAQUE PSORIASIS OF THE BODY
D-48,ADMINISTRATION OF CISATRACURIUM A NEUROMUSCULAR BLOCKING AGENT AT DOSES OF 3 AND 4X THE ED95 OF CISATRACURIUM FOLLOWING INDUCTION WITH THIOPENTAL
I-783,"EXPANDED INDICATION TO INCLUDE RIBOCICLIB WITH AN AROMATASE INHIBITOR IN PRE/PERIMENOPAUSAL WOMEN WITH HORMONE RECEPTOR-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER, AS INITIAL ENDOCRINE-BASED THERAPY"
I-450,TREATMENT OF PATIENTS WITH NEWLY DIAGNOSED HIGH GRADE GLIOMAS CONCOMITANTLY WITH RADIOTHERAPY AND THEN AS ADJUVANT TREATMENT
ODE-184,INDICATED IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT OF PEDIATRIC PATIENTS WITH HIV-1 INFECTION
D-88,NEW DOSING RANGE OF 200-400MG PER DAY IN TWO DIVIDED DOSES FOR ADULTS WITH PARTIAL SEIZURES
ODE-148,"TRAMETINIB IN COMBINATION WITH DABRAFENIB, FOR THE TX. OF PTS WITH METASTATIC NON-SMALL CELL LUNG CANCER  WITH BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST"
ODE-149,TREATMENT OF PEDIATRIC PATIENTS 2 YEARS OF AGE AND OLDER WITH CENTRAL PRECOCIOUS PUBERTY
M-153,ADDITION OF INFORMATION REGARDING THE INTRANASAL ABUSE POTENTIAL OF OXYCONTIN
M-71,REVISIONS TO PROVIDE FOR RESULTS OF MAINTENANCE DATA IN ADULT PATIENTS WITH MAJOR DEPRESSIVE DISORDER
ODE-196,INDICATED FOR THE FIRST-LINE TREATMENT OF PATIENTS WITH UNRESECTABLE HEPATOCELLULAR CARCINOMA (HCC)
M-256,INFORMATION ADDED TO THE CLINICAL STUDIES SECTION TO FULFILL A POST-MARKETING REQUIREMENT
M-20,LABELING REVISIONS RELATED TO MCCUNE ALBRIGHT SYNDROME
ODE-59,TREATMENT OF NON-24-HOUR SLEEP-WAKE DISORDER
I-911,FOR FLUORESCENCE IMAGING OF LYMPH NODES AND DELINEATION OF LYMPHATIC VESSELS DURINGLYMPHATIC MAPPING IN ADULTS WITH BREAST CANCER FOR WHICH THIS PROCEDURE IS A COMPONENT OF INTRAOPERATIVEMANAGEMENT
I-115,USE IN MRI IN ADULTS TO VISUALIZE LESIONS IN THE HEAD AND NECK
ODE-417,"TREATMENT OF TRANSFUSIONAL IRON OVERLOAD IN ADULT PATIENTS WITH THALASSEMIA SYNDROMES EXCLUDING ADULT PATIENTS COVERED BY THE INDICATION FOR THALASSEMIA SYNDROMES APPROVED ON OCTOBER 14, 2011"
I-567,INITIAL THERAPY IN PATIENTS LIKELY TO NEED MULTIPLE DRUGS TO ACHIEVE THEIR BLOOD PRESSURE GOALS
