struct_id,strength,patent_no,description,trade_name,applicant,appl_type,appl_no,type,dose_form,route,approval_date,patent_expire_date
228,25MG,8414922,TREATMENT OF OFF EPISODES IN PATIENTS WITH PARKINSONS DISEASE,KYNMOBI,SUMITOMO PHARMA AM,N,210875,DISCN,FILM,SUBLINGUAL,2020-05-21,2031-12-16
1725,10MG;1GM,8685934,"TREATMENT OF TYPE 2 DIABETES MELLITUS IN A PATIENT, WHEREIN GLYCEMIC CONTROL (HBA1C < 7.0%) IS NOT ACHIEVABLE USING ONE OR MORE OF INSULIN, METFORMIN, PIOGLITAZONE, OR ROSIGLITAZONE",XIGDUO XR,ASTRAZENECA AB,N,205649,RX,"TABLET, EXTENDED RELEASE",ORAL,2014-10-29,2030-05-26
1832,0.025MG/SPRAY;0.665MG/SPRAY,10758550,TREATMENT OF SEASONAL ALLERGIC RHINITIS BY NASALY ADMINISTERING A COMBINATION OF OLOPATADINE HYDROCHLORIDE AND MOMETASONE FUROATE TO A PEDIATRIC PATIENT,RYALTRIS,GLENMARK SPECIALTY,N,211746,RX,"SPRAY, METERED",NASAL,2022-01-13,2034-09-04
2464,150MG/10ML (15MG/ML),11583216,INTRAVENOUS SOTALOL DOSING REGIMEN FOR USE IN A FACILITY THAT CAN PROVIDE ELECTROCARDIOGRAPHIC MONITORING,SOTALOL HYDROCHLORIDE,ALTATHERA PHARMS LLC,N,022306,RX,SOLUTION,INTRAVENOUS,2009-07-02,2039-08-21
4745,1.1GM/ML,9254278,TREATMENT OF A UREA CYCLE DISORDER,RAVICTI,HORIZON THERAP US,N,203284,RX,LIQUID,ORAL,2013-02-01,2032-03-09
2391,150MG;100MG,11351149,"TREATMENT OF MILD-TO-MODERATE CORONAVIRUS DISEASE 2019 (COVID-19) IN ADULTS WHO ARE AT HIGH RISK FOR PROGRESSION TO SEVERE COVID-19, INCLUDING HOSPITALIZATION OR DEATH",PAXLOVID (COPACKAGED),PFIZER,N,217188,RX,TABLET,ORAL,2023-05-25,2041-08-05
841,9.375MG;9.375MG;9.375MG;9.375MG,6913768,TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER,MYDAYIS,TAKEDA PHARMS USA,N,022063,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2017-06-20,2023-05-24
946,10MG;28MG,8039009,MEMANTINE HCL/DONEPEZIL HCL COMBINATION FOR THE TREATMENT OF MODERATE TO SEVERE DEMENTIA OF THE ALZHEIMERS TYPE,NAMZARIC,ABBVIE,N,206439,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2014-12-23,2029-03-24
5393,40MG,10172851,TREATMENT OF ADULT PATIENTS WITH LOCALLY ADVANCED OR METASTATIC SOLID TUMORS WITH A RET GENE FUSION THAT HAVE PROGRESSED ON OR FOLLOWING PRIOR SYSTEMIC TREATMENT OR WHO HAVE NO SATISFACTORY ALTERNATIVE TREATMENT OPTIONS,RETEVMO,LOXO ONCOL ELI LILLY,N,213246,RX,CAPSULE,ORAL,2020-05-08,2037-10-10
4135,50MG,7678770,FOR THE TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD),VYVANSE,TAKEDA PHARMS USA,N,208510,RX,"TABLET, CHEWABLE",ORAL,2017-01-28,2023-02-24
1413,1GM,8709475,USE OF VASCEPA TO TREAT MIXED DYSLIPIDEMIA IN AN ADULT PATIENT WITH ELEVATED TRIGLYCERIDE (TG) LEVELS (>=150 MG/DL) AND ON STATIN THERAPY,VASCEPA,AMARIN PHARMS,N,202057,RX,CAPSULE,ORAL,2012-07-26,2030-04-29
1551,0.005%;EQ 0.02% BASE,10588901,REDUCTION OF ELEVATED INTRAOCULAR PRESSURE,ROCKLATAN,ALCON LABS INC,N,208259,RX,SOLUTION/DROPS,OPHTHALMIC,2019-03-12,2034-03-14
4806,EQ 5MG BASE,9125908,"USE IN THE TREATMENT OF MAJOR DEPRESSIVE DISORDER TO IMPROVE PROCESSING SPEED, AN ASPECT OF COGNITIVE FUNCTION",TRINTELLIX,TAKEDA PHARMS USA,N,204447,RX,TABLET,ORAL,2013-09-30,2027-06-15
1832,0.025MG/SPRAY;0.665MG/SPRAY,9750754,TREATMENT OF SEASONAL ALLERGIC RHINITIS BY NASALY ADMINISTERING A COMBINATION OF OLOPATADINE HYDROCHLORIDE AND MOMETASONE FUROATE,RYALTRIS,GLENMARK SPECIALTY,N,211746,RX,"SPRAY, METERED",NASAL,2022-01-13,2034-09-04
4628,40MG,8183274,THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER (CRPC).,XTANDI,ASTELLAS,N,203415,RX,CAPSULE,ORAL,2012-08-31,2026-08-24
1386,20MG,9333201,TREATMENT OF PAIN IN PATIENTS WITH HEPATIC IMPAIRMENT,ZOHYDRO ER,RECRO GAINESVILLE,N,202880,DISCN,"CAPSULE, EXTENDED RELEASE",ORAL,2013-10-25,2033-07-25
5291,200MG,8802714,TREATMENT OF HUMAN SMALLPOX DISEASE CAUSED BY VARIOLA VIRUS IN ADULTS AND PEDIATRIC PATIENTS WEIGHING AT LEAST 13 KG,TPOXX,SIGA TECHNOLOGIES,N,208627,RX,CAPSULE,ORAL,2018-07-13,2024-06-18
5126,1GM CONTAINS AT LEAST 850MG OF POLYUNSATURATED FATTY ACIDS,9132112,TREATMENT OF HYPERTRIGLYCERIDEMIA,EPANOVA,ASTRAZENECA,N,205060,DISCN,CAPSULE,ORAL,2014-05-05,2025-02-07
4175,10MG;5MG;1GM,8119648,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN AND METFORMIN,TRIJARDY XR,BOEHRINGER INGELHEIM,N,212614,RX,"TABLET, EXTENDED RELEASE",ORAL,2020-01-27,2023-08-12
5289,50MG,9763941,TREATMENT OF MELANOMA,BRAFTOVI,ARRAY BIOPHARMA INC,N,210496,DISCN,CAPSULE,ORAL,2018-06-27,2032-11-21
5380,EQ 200MG BASE,9872862,METHOD OF TREATING A LUNG METASTASIS OF EPITHELIOID SARCOMA,TAZVERIK,EPIZYME INC,N,211723,RX,TABLET,ORAL,2020-01-23,2033-04-11
5345,200MG,9649306,TREATMENT OF SOLID TUMORS THAT HAVE A NEUROTROPHIC TYROSINE RECEPTOR KINASE (NTRK) GENE FUSION,ROZLYTREK,GENENTECH INC,N,212725,RX,CAPSULE,ORAL,2019-08-15,2033-05-22
1123,2MG/0.85ML (2MG/0.85ML),8431685,AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN PATIENTS 10 TO 17 YEARS OF AGE WITH TYPE 2 DIABETES MELLITUS IN COMBINATION WITH METFORMIN AND/OR SULFONYLUREA,BYDUREON BCISE,ASTRAZENECA AB,N,209210,RX,"SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS,2017-10-20,2025-04-13
1725,12.5MG;2.5MG;1GM,10258637,METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN A PATIENT WITH RENAL IMPAIRMENT (45 ML/MIN/1.73 M2<=EGFR<60 ML/MIN/1.73 M2) BY ONCE DAILY ADMINISTRATION OF 10 MG OR 25 MG OF EMPAGLIFLOZIN IN COMBINATION WITH LINAGLIPTIN AND METFORMIN,TRIJARDY XR,BOEHRINGER INGELHEIM,N,212614,RX,"TABLET, EXTENDED RELEASE",ORAL,2020-01-27,2034-04-03
1386,50MG,9433619,TREATMENT OF PAIN IN PATIENTS WITH HEPATIC IMPAIRMENT,ZOHYDRO ER,RECRO GAINESVILLE,N,202880,DISCN,"CAPSULE, EXTENDED RELEASE",ORAL,2013-10-25,2033-07-25
961,EQ 60MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,9295652,TO TREAT OR PREVENT INFECTIONS CAUSED BY SUSCEPTIBLE BACTERIA USING DELAYED-RELEASE TABLETS CONSISTING OF DOXYCYCLINE HYCLATE COATED PELLETS IN A TABLET,DORYX MPC,MAYNE PHARMA,N,050795,RX,"TABLET, DELAYED RELEASE",ORAL,2016-05-20,2034-10-23
5716,EQ 200MG BASE/VIAL,11654196,TREATMENT OF CANDIDEMIA AND INVASIVE CANDIDIASIS WITH REZAFUNGIN BY INTRAVENOUS ADMINISTRATION,REZZAYO,CIDARA THERAPS,N,217417,RX,POWDER,INTRAVENOUS,2023-03-22,2032-03-02
5390,13.5MG,11628162,"TREATMENT OF PREVIOUSLY TREATED, UNRESECTABLE LOCALLY ADVANCED OR METASTATIC CHOLANGIOCARCINOMA WITH A FGFR2 FUSION OR OTHER REARRANGEMENT BY ADMINISTERING PEMIGATINIB WHILE AVOIDING THE CONCOMITANT USE OF STRONG AND MODERATE CYP3A INHIBITORS",PEMAZYRE,INCYTE CORP,N,213736,RX,TABLET,ORAL,2020-04-17,2040-08-30
403,EQ 0.8MG BASE,10688155,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIMS 44 AND 49 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 44,CYCLOSET,VEROSCIENCE,N,020866,RX,TABLET,ORAL,2009-05-05,2030-06-07
242,400MG,11154553,"TREATMENT OF SCHIZOPHRENIA, WITH EFFICACY IN TREATING ACUTE EPISODES OF SCHIZOPHRENIA",ABILIFY MAINTENA KIT,OTSUKA PHARM CO LTD,N,202971,RX,"FOR SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,2014-09-29,2033-09-24
4175,10MG;5MG,11090323,METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN A PATIENT WITH RENAL IMPAIRMENT (30 ML/MIN/1.73 M2<=EGFR<60 ML/MIN/1.73 M2) BY ONCE DAILY ADMINISTRATION OF 10 MG OR 25 MG OF EMPAGLIFLOZIN,GLYXAMBI,BOEHRINGER INGELHEIM,N,206073,RX,TABLET,ORAL,2015-01-30,2034-04-03
5058,1%,9399014,TREATMENT OF IMPETIGO DUE TO STAPHYLOCOCCUS AUREUS OR STREPTOCOCCUS PYOGENES,XEPI,FERRER INTERNACIONAL,N,208945,RX,CREAM,TOPICAL,2017-12-11,2029-12-15
1567,61.25MG;245MG,9089607,"TREATMENT OF PARKINSONS DISEASE, POST-ENCEPHALITIC PARKINSONISM, AND PARKINSONISM THAT MAY FOLLOW CARBON MONOXIDE INTOXICATION OR MANGANESE INTOXICATION",RYTARY,IMPAX LABS INC,N,203312,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2015-01-07,2028-12-26
1413,1GM,10278936,"USE OF VASCEPA AS AN ADJUNCT TO STATIN THERAPY TO REDUCE THE RISK OF A CARDIOVASCULAR EVENT (CARDIOVASCULAR DEATH, CORONARY REVASCULARIZATION AND/OR UNSTABLE ANGINA) IN AN ADULT PATIENT WITH ELEVATED TRIGLYCERIDE LEVELS",VASCEPA,AMARIN PHARMS,N,202057,RX,CAPSULE,ORAL,2012-07-26,2033-06-28
4616,12MG/0.6ML (12MG/0.6ML),10376584,TREATMENT OF OPIOID-INDUCED CONSTIPATION,RELISTOR,SALIX PHARMS,N,021964,RX,SOLUTION,SUBCUTANEOUS,2008-04-24,2024-04-08
5305,EQ 25MG BASE,10813936,"METHOD OF TREATING LUNG CANCER, UNDIFFERENTIATED SARCOMA, OR COLORECTAL CANCER THAT EXHIBITS AN NTRK GENE FUSION",VITRAKVI,BAYER HLTHCARE,N,210861,RX,CAPSULE,ORAL,2018-11-26,2035-11-16
5393,80MG,10786489,TREATING ADULT AND PEDIATRIC PATIENTS 12 YEARS OF AGE AND OLDER WITH ADVANCED OR METASTATIC RET FUSION-POSITIVE REFRACTORY DIFFERENTIATED THYROID CANCER WHO REQUIRE SYSTEMIC THERAPY AND ARE RADIOACTIVE IODINE-REFRACTORY,RETEVMO,LOXO ONCOL ELI LILLY,N,213246,RX,CAPSULE,ORAL,2020-05-08,2038-10-10
4228,"75MG;75MG, 50MG",8354427,TEZACAFTOR AND IVACAFTOR FOR THE TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGE 6 YEARS AND OLDER WHO HAVE A R117H MUTATION IN THE CFTR GENE,SYMDEKO (COPACKAGED),VERTEX PHARMS INC,N,210491,RX,TABLET,ORAL,2019-06-21,2026-07-06
4820,20MG,10980770,TREATMENT OF NON-24 HOUR SLEEP-WAKE DISORDER BY AVOIDING THE ADMINISTRATION OF TASIMELTEON TO SMOKERS OR TO PATIENTS BEING TREATED WITH A CYP1A2 INHIBITOR,HETLIOZ,VANDA PHARMS INC,N,205677,RX,CAPSULE,ORAL,2014-01-31,2033-01-25
5203,EQ 250MG BASE,9861638,"A METHOD FOR TREATING OVARIAN CANCER BY ADMINISTERING RUCAPARIB, WHEREIN THE CANCER IS ASSOCIATED WITH A DELETERIOUS BRCA MUTATION",RUBRACA,ZR PHARMA,N,209115,RX,TABLET,ORAL,2017-05-01,2031-02-10
2607,50MG/5GM PACKET,7608605,METHOD FOR ADMINISTRATION OF TESTOSTERONE,TESTIM,AUXILIUM PHARMS LLC,N,021454,RX,GEL,TRANSDERMAL,2002-10-31,2023-04-21
946,10MG;7MG,8058291,MEMANTINE HCL/DONEPEZIL HCL COMBINATION FOR THE TREATMENT OF MODERATE TO SEVERE DEMENTIA OF THE ALZHEIMERS TYPE,NAMZARIC,ABBVIE,N,206439,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2016-07-18,2029-12-05
4228,"100MG, 75MG, 50MG;75MG",11179367,TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 2 TO <6 YEARS WHO HAVE IN THE CFTR GENE AT LEAST ONE F508DEL MUTATION OR A MUTATION THAT IS RESPONSIVE BASED ON IN VITRO DATA WITH A COMPOSITION ACCORDING TO ANY ONE OF CLAIMS 1-3 AND 7-9 OF US11179367,TRIKAFTA (COPACKAGED),VERTEX PHARMS INC,N,217660,RX,GRANULES,ORAL,2023-04-26,2037-12-08
5232,3.12MG/1.56ML (2MG/ML),8748382,TREATMENT TO INCREASE BONE DENSITY IN MEN WITH OSTEOPOROSIS AT HIGH RISK FOR FRACTURE,TYMLOS,RADIUS HEALTH INC,N,208743,RX,SOLUTION,SUBCUTANEOUS,2017-04-28,2027-10-03
1676,30MG/ML (30MG/ML),10709713,MANAGEMENT OF MODERATE-TO-SEVERE PAIN BY INTRAVENOUS INJECTION,ANJESO,BAUDAX,N,210583,DISCN,SOLUTION,INTRAVENOUS,2020-02-20,2030-05-26
817,0.0553MG,7560429,TREATMENT OF NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS,NOCDURNA,FERRING PHARMS INC,N,022517,RX,TABLET,SUBLINGUAL,2018-06-21,2024-02-02
1980,EQ 20MG BASE,10238709,USE OF ORAL OCTREOTIDE FOR LONG-TERM MAINTENANCE TREATMENT IN ACROMEGALY PATIENTS WHO HAVE RESPONDED TO AND TOLERATED TREATMENT WITH OCTREOTIDE OR LANREOTIDE,MYCAPSSA,AMRYT,N,208232,RX,"CAPSULE, DELAYED RELEASE",ORAL,2020-06-26,2036-02-03
432,660MG/5ML (132MG/ML),8846072,METHOD FOR PROVIDING SUSTAINED LOCAL ANESTHESIA FOR AT LEAST 24 HOURS,POSIMIR,INNOCOLL,N,204803,RX,"SOLUTION, EXTENDED RELEASE",INFILTRATION,2021-02-01,2025-09-15
1057,0.004MG,10835487,TREATMENT OF A SYMPTOM OF VULVAR AND VAGINAL ATROPHY,IMVEXXY,MAYNE PHARMA,N,208564,RX,INSERT,VAGINAL,2018-05-29,2032-11-21
4715,EQ 20MG BASE,11098015,TREATMENT OF RENAL CELL CARCINOMA,CABOMETYX,EXELIXIS INC,N,208692,RX,TABLET,ORAL,2016-04-25,2030-01-15
5128,750MG IRON/15ML (50MG IRON/ML),8895612,"METHOD OF TREATMENT OF IRON-RELATED CONDITIONS WITH AT LEAST 0.6 GRAMS OF ELEMENTAL IRON VIA AN IRON CARBOHYDRATE COMPLEX, WITH A SUBSTANTIALLY NON-IMMUNOGENIC CARBOHYDRATE COMPONENT, IN ABOUT 15 MINUTES OR LESS.",INJECTAFER,AM REGENT,N,203565,RX,SOLUTION,INTRAVENOUS,2013-07-25,2027-01-08
52,325MG;7.5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,9468636,MANAGEMENT OF ACUTE PAIN IN PATIENTS REQUIRING OPIOID ANALGESIA,XARTEMIS XR,MALLINCKRODT INC,N,204031,DISCN,"TABLET, EXTENDED RELEASE",ORAL,2014-03-11,2032-05-16
5233,180MG,10385078,TREATMENT OF ANAPLASTIC LYMPHOMA KINASE (ALK)-POSITIVE METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC),ALUNBRIG,TAKEDA PHARMS USA,N,208772,RX,TABLET,ORAL,2017-10-02,2035-11-10
1123,2MG/VIAL,8906851,IMPROVING GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING AN EXENATIDE FORMULATION ONCE WEEKLY AS AN ADJUNCT TO DIET AND EXERCISE TO ACHIEVE A MEAN STEADY STATE PLASMA CONCENTRATION OF EXENATIDE AT LEAST 170 PG/ML,BYDUREON,ASTRAZENECA AB,N,022200,DISCN,"FOR SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS,2012-01-27,2026-08-18
4830,10MG;5MG,8119648,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN,GLYXAMBI,BOEHRINGER INGELHEIM,N,206073,RX,TABLET,ORAL,2015-01-30,2023-08-12
4135,20MG,7723305,INDICATED FOR THE TREATMENT OF ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD),VYVANSE,TAKEDA PHARMS USA,N,021977,RX,CAPSULE,ORAL,2007-12-10,2023-02-24
179,5MG/2ML (2.5MG/ML),9084765,TREATMENT OF POST-OPERATIVE NAUSEA AND VOMITING,BARHEMSYS,ACACIA,N,209510,RX,SOLUTION,INTRAVENOUS,2020-02-26,2034-02-26
228,30MG,9669021,TREATMENT OF OFF EPISODES IN PATIENTS WITH PARKINSONS DISEASE,KYNMOBI,SUMITOMO PHARMA AM,N,210875,DISCN,FILM,SUBLINGUAL,2020-05-21,2030-06-11
1751,10MG/0.4ML (10MG/0.4ML),8480631,SUBCUTANEOUS INJECTION OF METHOTREXATE,OTREXUP,OTTER PHARMS,N,204824,RX,SOLUTION,SUBCUTANEOUS,2013-10-11,2030-03-19
4810,560MG,10751342,TREATMENT OF RELAPSED OR REFRACTORY CHRONIC LYMPHOCYTIC LEUKEMIA,IMBRUVICA,PHARMACYCLICS LLC,N,210563,DISCN,TABLET,ORAL,2018-02-16,2031-06-03
5001,100MG,8772325,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) WITH VIBERZI (ELUXADOLINE).,VIBERZI,ABBVIE,N,206940,RX,TABLET,ORAL,2015-05-27,2025-03-14
4810,140MG,10478439,TREATMENT OF SMALL LYMPHOCYTIC LYMPHOMA,IMBRUVICA,PHARMACYCLICS LLC,N,205552,RX,CAPSULE,ORAL,2013-11-13,2031-06-03
1725,5MG;1GM,10258637,METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN A PATIENT WITH RENAL IMPAIRMENT (45 ML/MIN/1.73 M2<=EGFR<60 ML/MIN/1.73 M2) BY ONCE DAILY ADMINISTRATION OF 10 MG OR 25 MG OF EMPAGLIFLOZIN,SYNJARDY,BOEHRINGER INGELHEIM,N,206111,RX,TABLET,ORAL,2015-08-26,2034-04-03
435,105MG;45MG,11285146,DEXTROMETHORPHAN AND BUPROPION IN COMBINATION TO TREAT MAJOR DEPRESSIVE DISORDER,AUVELITY,AXSOME,N,215430,RX,"TABLET, EXTENDED RELEASE",ORAL,2022-08-18,2034-11-05
4820,4MG/ML,10376487,TREATMENT OF NIGHTTIME SLEEP DISTURBANCES IN SMITH-MAGENIS SYNDROME BY AVOIDING THE ADMINISTRATION OF TASIMELTEON WITH FOOD,HETLIOZ LQ,VANDA PHARMS INC,N,214517,RX,SUSPENSION,ORAL,2020-12-01,2035-07-27
2806,49MG;51MG,11135192,TREATMENT OF HEART FAILURE WITH PRESERVED EJECTION FRACTION,ENTRESTO,NOVARTIS PHARMS CORP,N,207620,RX,TABLET,ORAL,2015-07-07,2033-08-22
1751,25MG/0.4ML (25MG/0.4ML),8579865,SUBCUTANEOUS INJECTION OF METHOTREXATE,OTREXUP,OTTER PHARMS,N,204824,RX,SOLUTION,SUBCUTANEOUS,2013-10-11,2030-03-19
5110,EQ 123MG BASE,11357761,THE TREATMENT OF FABRY PATIENTS,GALAFOLD,AMICUS THERAP US,N,208623,RX,CAPSULE,ORAL,2018-08-10,2038-05-30
489,300MG,6977253,"THE RECOMMENDED INITIAL DOSE OF EQUETRO IS 400MG/DAY GIVEN IN DIVIDED DOSES, TWICE DAILY. THE DOSE SHOULD BE ADJUSTED IN 200MG DAILY INCREMENTS TO ACHIEVE OPTIMAL CLINICAL RESPONSE.",EQUETRO,VALIDUS PHARMS,N,021710,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2004-12-10,2024-05-19
2809,EQ 10MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,8273876,TREATMENT OF ERECTILE DYSFUNCTION BY ADMINISTERING A FILM-COATED TABLET,LEVITRA,BAYER HLTHCARE,N,021400,DISCN,TABLET,ORAL,2003-08-19,2027-07-23
2104,6.52MG/ML,10588988,METHOD OF USING THE DRUG SUBSTANCE/DRUG PRODUCT FOR ULTRASOUND IMAGING,DEFINITY RT,LANTHEUS MEDCL,N,021064,RX,INJECTABLE,INTRAVENOUS,2020-11-17,2037-05-04
1725,2.5MG;1GM,8685934,"TREATMENT OF TYPE 2 DIABETES MELLITUS IN A PATIENT, WHEREIN GLYCEMIC CONTROL (HBA1C < 7.0%) IS NOT ACHIEVABLE USING ONE OR MORE OF INSULIN, METFORMIN, PIOGLITAZONE, OR ROSIGLITAZONE",XIGDUO XR,ASTRAZENECA AB,N,205649,RX,"TABLET, EXTENDED RELEASE",ORAL,2017-07-28,2030-05-26
5406,30MG/30ML (1MG/ML),9309234,MANAGEMENT OF ACUTE PAIN BY INTRAVENOUS INJECTION,OLINVYK,TREVENA,N,210730,RX,SOLUTION,INTRAVENOUS,2020-10-30,2032-03-23
2279,1MG;100MG,10806740,"TREATMENT OF MENOPAUSE SYMPTOMS, INCLUDING VASOMOTOR SYMPTOMS",BIJUVA,MAYNE PHARMA,N,210132,RX,CAPSULE,ORAL,2018-10-28,2032-11-21
824,0.7MG,8034366,TREATMENT OF MACULAR EDEMA,OZURDEX,ABBVIE,N,022315,RX,IMPLANT,INTRAVITREAL,2009-06-17,2023-01-09
1118,2.5MG,9006224,"TREATMENT OF PATIENTS WITH PROGRESSIVE NEUROENDOCRINE TUMORS OF PANCREATIC ORIGIN (PNET) THAT ARE UNRESECTABLE, LOCALLY ADVANCED OR METASTATIC",AFINITOR,NOVARTIS,N,022334,RX,TABLET,ORAL,2010-07-09,2028-07-01
4875,EQ 60MG BASE,8900566,METHOD OF INHIBITING HEPATITIS C VIRUS WITH DAKLINZA AND AT LEAST ONE ADDITIONAL COMPOUND HAVING ANTI-HCV ACTIVITY,DAKLINZA,BRISTOL-MYERS SQUIBB,N,206843,DISCN,TABLET,ORAL,2015-07-24,2027-08-08
4115,EQ 5MG BASE,7741358,TREATMENT OF BIPOLAR DISORDER AND SCHIZOPHRENIA,SAPHRIS,ALLERGAN,N,022117,RX,TABLET,SUBLINGUAL,2009-08-13,2026-04-06
5460,20MG;EQ 10MG BASE,10716785,"METHOD OF TREATING BIPOLAR DISORDER BY ADMINISTERING THE ATYPICAL ANTIPSYCHOTIC OLANZAPINE AND SAMIDORPHAN, WITH REDUCED ANTIPSYCHOTIC INDUCED WEIGHT GAIN",LYBALVI,ALKERMES INC,N,213378,RX,TABLET,ORAL,2021-05-28,2031-08-23
242,300MG/VIAL,11344547,TREATMENT OF SCHIZOPHRENIA,ABILIFY MAINTENA KIT,OTSUKA PHARM CO LTD,N,202971,RX,"FOR SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,2013-02-28,2033-09-24
939,80MG/4ML (20MG/ML),9763880,TREATMENT OF PATIENTS WITH LOCALLY ADVANCED METASTATIC BREAST CANCER AFTER FAILURE OF PRIOR CHEMOTHERAPY,DOCETAXEL,SHILPA,N,205934,RX,INJECTABLE,INJECTION,2015-12-22,2033-09-30
4505,105MG,7915247,ADJUNCTIVE THERAPY TO DIET TO PATIENTS WITH HYPERTRIGLYCERIDEMIA,FIBRICOR,ATHENA,N,022418,DISCN,TABLET,ORAL,2009-08-14,2027-08-20
4830,10MG;5MG,8178541,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN (WITH OR WITHOUT METFORMIN),GLYXAMBI,BOEHRINGER INGELHEIM,N,206073,RX,TABLET,ORAL,2015-01-30,2023-08-12
4922,EQ 1GM BASE/VIAL;EQ 0.5GM BASE/VIAL,9724353,TREATMENT OF HOSPITAL-ACQUIRED BACTERIAL PNEUMONIA,ZERBAXA,CUBIST PHARMS LLC,N,206829,RX,POWDER,INTRAVENOUS,2014-12-19,2032-09-07
5400,EQ 20MG BASE/VIAL,10472365,USE OF REMIMAZOLAM FOR INDUCTION AND MAINTENANCE OF PROCEDURAL SEDATION IN ADULTS UNDERGOING PROCEDURES LASTING 30 MINUTES OR LESS,BYFAVO,ACACIA,N,212295,RX,POWDER,INTRAVENOUS,2020-10-06,2027-07-10
403,EQ 0.8MG BASE,9895422,ADJUNCT TO DIET AND EXERCISE TO TREAT GLUCOSE INTOLERANCE IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIM 2 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 2,CYCLOSET,VEROSCIENCE,N,020866,RX,TABLET,ORAL,2009-05-05,2030-06-07
1679,10MG;28MG,8362085,MEMANTINE HCL/DONEPEZIL HCL COMBINATION FOR THE TREATMENT OF MODERATE TO SEVERE DEMENTIA OF THE ALZHEIMERS TYPE,NAMZARIC,ABBVIE,N,206439,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2014-12-23,2025-11-22
2379,550MG,8741904,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) IN ADULTS.,XIFAXAN,SALIX PHARMS,N,021361,RX,TABLET,ORAL,2010-03-24,2026-02-27
4340,EQ 12.5MG BASE;EQ 30MG BASE,7807689,METHOD OF TREATING DIABETES COMPRISING ADMINISTERING ALOGLIPTIN,OSENI,TAKEDA PHARMS USA,N,022426,RX,TABLET,ORAL,2013-01-25,2028-06-27
2608,198MG,11331325,METHOD OF TREATING TESTOSTERONE DEFICIENCY,JATENZO,TOLMAR,N,206089,RX,CAPSULE,ORAL,2019-03-27,2027-01-06
4684,6MG,6949571,TREATMENT OF PRIMARY GENERALIZED TONIC-CLONIC SEIZURES AS ADJUNCTIVE THERAPY IN PATIENTS WITH EPILEPSY,FYCOMPA,CATALYST PHARMS,N,202834,RX,TABLET,ORAL,2012-10-22,2024-06-08
4757,120MG,11129806,METHOD OF TREATING MULTIPLE SCLEROSIS,TECFIDERA,BIOGEN INC,N,204063,RX,"CAPSULE, DELAYED RELEASE",ORAL,2013-03-27,2035-11-16
