code,description
U-1294,METHOD OF TREATING GLAUCOMA IN A PATIENT
U-3192,"METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN A PATIENT WITH RENAL IMPAIRMENT (EGFR<60 ML/MIN/1.73 M2) BY INITIATION OF EMPAGLIFLOZIN, LINAGLIPTIN AND METFORMIN HCL IF EGFR>=45 ML/MIN/1.73 M2 AND DISCONTINUATION IF EGFR <30 ML/MIN/1.73 M2"
U-2204,"TREATING PATIENTS WITH ACUTE PROMYELOCYTIC LEUKEMIA (APL) WHO ARE REFRACTORY TO, OR HAVE RELAPSED FROM, RETINOID AND ANTHRACYCLINE CHEMOTHERAPY, AND WHOSE APL IS CHARACTERIZED BY THE PRESENCE OF THE T(15;17) TRANSLOCATION OR PML/RAR-ALPHA GENE EXPRESSION"
U-1549,FOR THE TREATMENT OF PATIENTS WITH RELAPSED CHRONIC LYMPHOCYTIC LEUKEMIA
U-111,DIABETES
U-321,REDUCTION OF ELEVATED IPTH LEVELS IN THE MGT OF SECONDARY HYPERPARATHYROIDISM IN PATIENTS UNDERGONG CHRONIC RENAL DIALYSIS
U-2924,ADJUNCT TO DIET AND EXERCISE TO TREAT GLUCOSE INTOLERANCE IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIM 42 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 42
U-941,METHOD TO TREAT OVARIAN CANCER
U-162,METHOD OF USE TO INHIBIT CHOLESTEROL SYNTHESIS IN A HUMAN SUFFERING FROM HYPERCHOLESTEROLEMIA
U-1045,MAINTENANCE TREATMENT IN PATIENTS WITH LOCALLY ADVANCED OR METASTATIC NSCLC WHO HAVE NOT PROGRESSED ON 1ST-LINE TREATMENT WITH PLATINUM-BASED CHEMOTHERAPY
U-2496,IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY USE OF A PEN INJECTOR WITH A THREADED DRIVE SLEEVE
U-2902,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIMS 1 AND 16 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 1
U-2668,TREATMENT OF ADULT PATIENTS WITH PREVIOUSLY UNTREATED CHRONIC LYMPHOCYTIC LEUKEMIA IN COMBINATION WITH OBINUTUZUMAB
U-1453,A METHOD OF TREATING HYPOXIC RESPIRATORY FAILURE BY VERIFYING GAS INFORMATION OF NITRIC OXIDE PRIOR TO DELIVERY TO PATIENT
U-364,"TREATING A PATIENT SUFFERING FROM OR SUSCEPTIBLE TO ANY NUMBER OF LISTED CONDITIONS INCLUDING PSYCHOSIS, EMPLOYING OLANZAPINE AS PER THE INDICATION WHICH IS THE SUBJECT MATTER OF THIS SNDA-011"
U-740,FOR THE TREATMENT OF PATIENTS WITH PRIMARY BILIARY CIRRHOSIS
U-2312,TREATMENT OF HYPERKALEMIA IN ADULTS
U-2591,LOWERING PLASMA GLUCAGON IN ADULTS WITH TYPE 2 DIABETES MELLITUS BY ADMINISTERING EXENATIDE AS AN ADJUNCT TO DIET AND EXERCISE
U-1399,MANAGEMENT OF NEPHROPATHIC CYSTINOSIS BY ADMINISTERING A TOTAL DAILY DOSE IN TWO DIVIDED DOSES
U-3370,A METHOD FOR THE TREATMENT OF ADULT PATIENTS WITH STABLE WILSON’S DISEASE WHO ARE DE-COPPERED AND TOLERANT TO PENICILLAMINE
U-587,USE OF EPLERENONE IN COMBINATION WITH AN ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITOR (AND OPTIONALLY A DIURETIC) FOR TREATING CONGESTIVE HEART FAILURE AND HYPERTENSION
U-2603,METHOD OF TREATING IRON DEFICIENCY
U-382,METHOD OF STABILIZING PROSTAGLANDIN
U-2427,USE FOR THE TREATMENT OF DROP SEIZURES IN PATIENTS WITH DRAVET SYNDROME
U-1885,USE OF LORCASERIN HYDROCHLORIDE FOR CHRONIC WEIGHT MANAGEMENT BY DECREASING FOOD INTAKE IN PATIENTS ON A REDUCED-CALORIE DIET AND WHO HAVE ACHIEVED A GREATER THAN OR EQUAL TO 5% WEIGHT LOSS BY WEEK 12 OF TREATMENT
U-3363,"TREATMENT OF SCHIZOPHRENIA MEDIATED BY THE 5-HT2A RECEPTOR, SEROTONIN TRANSPORTER, AND/OR DOPAMINE D1/D2 SIGNALING PATHWAYS"
U-945,SEDATIVE-HYPNOTIC AGENT INDICATED FOR MONITORED ANESTHESIA CARE (MAC) SEDATION
U-1903,"USE OF NALOXONE HYDROCHLORIDE FOR EMERGENCY TREATMENT OF KNOWN OR SUSPECTED OPIOID OVERDOSE, AS MANIFESTED BY RESPIRATORY AND/OR CENTRAL NERVOUS SYSTEM DEPRESSION."
U-187,THERAPEUTIC TREATMENT OF CALCIFIC TUMORS
U-3079,A METHOD TO DECREASE THE INCIDENCE OF CHEMOTHERAPY-INDUCED MYELOSUPPRESSION IN ADULT PATIENTS WHEN ADMINISTERED PRIOR TO A PLATINUM/ETOPOSIDE-CONTAINING REGIMEN FOR EXTENSIVE-STAGE SMALL CELL LUNG CANCER
U-774,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-IV INHIBITOR
U-2049,DISCONTINUING ADMINISTRATION OF A STRONG CYP1A2 INHIBITOR TO AVOID DRUG INTERACTIONS WITH PIRFENIDONE AND THEN ADMINISTERING PIRFENIDONE
U-556,USE AS ADJUNCT DIAGNOSTIC FOR SERUM THYROGLOBULIN (TG) TESTING
U-2047,"ADMINISTERING PIRFENIDONE CONCURRENTLY WITH FLUVOXAMINE, THE PIRFENIDONE AT A DOSE OF ABOUT 801 MG/DAY TO REDUCE DRUG INTERACTIONS WITH FLUVOXAMINE"
U-3413,"INDICATED AS ADJUNCTIVE THERAPY FOR THE TREATMENT OF PARTIAL-ONSET SEIZURES, PRIMARY GENERALIZED TONIC-CLONIC SEIZURES, AND SEIZURES ASSOCIATED WITH LENNOX-GASTAUT SYNDROME IN PATIENTS 2 YEARS OF AGE AND OLDER"
U-633,METHOD FOR TREATMENT OF TUMORS BY ADMINISTERING PACLITAXEL AT A DOSE IN THE RANGE OF ABOUT 30MG/METER SQUARE TO ABOUT 100MG/METER SQUARE IN A PHARMACEUTICALLY ACCEPTABLE FORMULATION THAT DOES NOT CONTAIN CREMOPHOR
U-2973,"TREATING ADULT AND PEDIATRIC PATIENTS 12 YEARS OF AGE AND OLDER WITH ADVANCED OR METASTATIC RET FUSION-POSITIVE THYROID CANCER WHO REQUIRE SYSTEMIC THERAPY AND WHO ARE RADIOACTIVE IODINE-REFRACTORY, WHEREIN THE CANCER IS PAPILLARY THYROID CANCER"
U-1167,PROPHYLAXIS OF DEEP VEIN THROMBOSIS (DVT)
U-2172,METHOD TO TREAT SEVERE ALLERGIC EMERGENCIES IN PATIENTS WEIGHING 7.5 TO 15 KG (16.5 TO 33 LBS)
U-546,USE OF REPAGLINIDE IN COMBINATION WITH METFORMIN TO LOWER BLOOD GLUCOSE
U-606,USE OF IRINOTECAN IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN FOR THE TREATMENT OF METASTATIC COLORECTAL CANCER
U-1896,SUPPLEMENT FOR VITAMIN B12 DEFICIENCIES
U-2514,MAINTENANCE TREATMENT OF BRONCHOSPASM ASSOCIATED WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-2467,VISUALIZATION OF EXTRAHEPATIC BILIARY DUCT ATTACHED TO DONOR ORGAN IN PATIENTS 12 YEARS AND OLDER
U-2295,TREATMENT OF PARTIAL-ONSET SEIZURES IN PATIENTS 4 YEARS OF AGE AND OLDER
U-2132,"IN COMBINATION WITH FULVESTRANT FOR THE TREATMENT OF WOMEN WITH HORMONE RECEPTOR (HR)-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER WITH DISEASE PROGRESSION FOLLOWING ENDOCRINE THERAPY"
U-2733,"METHOD OF TREATING A TYPE 2 DIABETES MELLITUS PATIENT WITH INSUFFICIENT GLYCEMIC CONTROL DESPITE THERAPY WITH METFORMIN USING A PHARMACEUTICAL COMPOSITION COMPRISING EMPAGLIFLOZIN, LINAGLIPTIN AND METFORMIN"
U-1926,"METHOD OF TREATING, REDUCING THE INCIDENCE OF, OR PREVENTING AN ISCHEMIC EVENT IN A PATIENT UNDERGOING PCI BY ADMINISTERING INTRAVENOUSLY 30 UG/KG BOLUS BEFORE PCI AND CONTINUOUS INFUSION OF 4 UG/KG/MIN FOR AT LEAST 2 HOURS OR THE DURATION OF THE PCI"
U-1239,MAGNETIC RESONANCE IMAGING OF THE LIVER
U-1602,METHOD OF ADMINISTERING PIRFENIDONE CAPSULES TO TREAT A FIBROTIC CONDITION
U-1697,PULMONARY ADMINISTRATION OF A COMPOSITION COMPRISING INSULIN BOUND TO A DIKETOPIPERAZINE.
U-3418,A METHOD OF LOADING MEDICATION INTO A SYRINGE AND DELIVERING THE MEDICATION TO A TREATMENT SITE
U-1065,METHOD OF TREATING ANDROGEN RESPONSIVE OR MEDICATED CONDITION IN A MAMMAL BY ADMINISTERING A SAFE & EFFECTIVE AMOUNT OF DUTASTERIDE OR A PHARMACEUTICALLY ACCEPTABLE SOLVATE THEREOF.. CONDITIONS INCLUDE BENIGN PROSTATIC HYPERTROPHY
U-1834,TREATMENT OF POSTOPERATIVE INFLAMMATION AND PREVENTION OF OCULAR PAIN IN PATIENTS UNDERGOING CATARACT SURGERY
U-803,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-IV INHIBITOR IN COMBINATION WITH METFORMIN
U-8,ACUTE MYOCARDIAL INFARCTION
U-3202,"MAINTENANCE TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) COMPRISING THE ONCE PER DAY ADMINISTRATION OF TRELEGY ELLIPTA, 100 MCG FLUTICASONE FUROATE/62.5 MCG UMECLIDINIUM/25 MCG VILANTEROL"
U-2104,TREATMENT OF HYPERURICEMIA ASSOCIATED WITH GOUT IN PATIENTS WHO HAVE NOT ACHIEVED TARGET SERUM URIC ACID LEVELS WITH A MEDICALLY APPROPRIATE DAILY DOSE OF ALLOPURINOL ALONE
U-1034,TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) IN ADULTS
U-3321,METHOD OF USING A PYRUVATE KINASE ACTIVATOR FOR THE TREATMENT OF HEMOLYTIC ANEMIA IN ADULTS WITH PYRUVATE KINASE (PK) DEFICIENCY BY ADMINISTERING A DAILY DOSE OF 10MG TO 100MG
U-2124,TREATMENT OF ADULT PATIENTS WITH RELAPSED FOLLICULAR LYMPHOMA WHO HAVE RECEIVED AT LEAST TWO PRIOR SYSTEMIC THERAPIES
U-3500,TREATMENT OF ADULT PATIENTS WITH SEVERE ALOPECIA AREATA
U-913,"TREATMENT OF OVERACTIVE BLADDER WITH SYMPTOMS OF URGE URINARY INCONTINENCE, URGENCY, AND FREQUENCY"
U-1027,REDUCTION OF ELEVATED PLASMA STEROL AND/OR STANOL LEVELS IN A MAMMAL
U-2239,"REDUCTION OF ELEVATED INTRAOCULAR PRESSURE (IOP) IN PATIENTS WITH GLAUCOMA OR OCULAR HYPERTENSION, WITH A REDUCTION IN SPECIFIED ADVERSE EVENTS, COMPARED TO BRIMONIDINE 0.2% TID"
U-3275,TREATMENT OF ADULTS WITH ACTIVE PSORIATIC ARTHRITIS WHO HAVE HAD AN INADEQUATE RESPONSE OR INTOLERANCE TO ONE OR MORE TNF BLOCKERS
U-518,OBSESSIVE COMPULSIVE DISORDER
U-2200,COMBINATION TREATMENT WITH INSULIN GLARGINE WITH OR WITHOUT METFORMIN FOR IMPROVEMENT OF GLYCEMIC CONTROL IN TYPE 2 DIABETES MELLITUS PATIENTS
U-368,HEARTBURN
U-495,PERITONEAL DIALYSIS SOLUTION
U-1793,TREATMENT OF PEDIATRIC PATIENTS WITH OTITIS MEDIA WITH EFFUSION UNDERGOING TYMPANOSTOMY TUBE PLACEMENT
U-487,METHOD AND COMPOSITION FOR REDUCING NERVE INJURY PAIN ASSOCIATED WITH SHINGLES (HERPES ZOSTER AND POST-HERPETIC NEURALGIA)
U-3461,"INDICATED TO RAISE BLOOD PRESSURE IN ADULT PATIENTS WITH SEVERE, ACUTE HYPOTENSION"
U-2936,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIMS 44 AND 56 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 44
U-2460,"VISUALIZATION OF VESSELS, BLOOD FLOW AND TISSUE PERFUSION OF CORONARY ARTERY BYPASS GRAFT IN VASCULAR, GASTROINTESTINAL, ORGAN TRANSPLANT, AND PLASTIC, MICRO- AND RECONSTRUCTIVE, INCLUDING MINIMALLY INVASIVE, SURGERY"
U-2826,TREATMENT OF ADULT PATIENTS WITH METASTATIC RET FUSION-POSITIVE NON-SMALL CELL LUNG CANCER
U-1051,TREATMENT OF OROPHARYNGEAL CANDIDIASIS
U-2547,METHOD OF PROVIDING CONTRACEPTION IN A WOMAN HAVING A BMI OF 25 KG/M2 OR MORE WITH RESULTANT LIMITED BLEEDING EVENTS PER TREATMENT CYCLE
U-1916,PREVENTION OF NAUSEA AND VOMITING ASSOCIATED WITH CHEMOTHERAPY (CINV)
U-2510,A METHOD FOR CONTRACEPTION COMPRISING THE STEP OF ORAL ADMINISTRATION A DOSAGE OF 20 MG TO 30 MG OF ULIPRISTAL ACETATE TO A WOMAN WITHIN 72 HOURS AND UP TO 120 HOURS AFTER AN UNPROTECTED INTERCOURSE
U-2747,USE OF NEXLETOL AS AN ADJUNCT TO DIET AND MAXIMALLY TOLERATED STATIN THERAPY TO LOWER LDL-C IN ADULTS WITH HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA OR ESTABLISHED ATHEROSCLEROTIC CARDIOVASCULAR DISEASE
U-1156,TO REDUCE BLOOD PHENYLALANINE (PHE) LEVELS IN PATIENTS WITH HYPERPHENYLALANINEMIA (HPA)
U-1396,"TREATMENT OF ADVANCED HORMONE RECEPTOR POSITIVE, HER2-NEGATIVE BREAST CANCER IN COMBINATION WITH EXEMESTANE AFTER FAILURE OF TREATMENT WITH LETROZOLE OR ANASTROZOLE"
U-2577,TREATMENT OF THROMBOCYTOPENIA IN AN ADULT PATIENT WITH CHRONIC IMMUNE THROMBOCYTOPENIA WHO HAS HAD AN INSUFFICIENT RESPONSE TO A PREVIOUS TREATMENT
U-3588,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 2 TO <6 YEARS AND OLDER WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CFTR GENE OR A MUTATION IN THE CFTR GENE THAT IS RESPONSIVE BASED ON IN VITRO DATA WITH ELEXACAFTOR, TEZACAFTOR, AND IVACAFTOR"
U-1007,METHOD OF TREATING GOUT FLARES
U-2895,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIMS 1 AND 7 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 1
U-929,TREATMENT OF OBSESSIVE COMPULSIVE DISORDER TREATABLE WITH AN SSRI
U-3590,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 2 TO <6 YEARS WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CFTR GENE OR A MUTATION IN THE CFTR GENE THAT IS RESPONSIVE BASED ON IN VITRO DATA WITH AN EFFECTIVE AMOUNT OF ELX, TEZ, AND IVA"
U-1725,METHOD OF INHIBITING HEPATITIS C VIRUS WITH DAKLINZA AND AT LEAST ONE ADDITIONAL COMPOUND HAVING ANTI-HCV ACTIVITY
U-20,A PROCESS FOR TREATING A PATIENT SUFFERING FROM PARKINSONS SYNDROME AND IN NEED OF TREATMENT
U-2293,"USE IN COMBINATION WITH DEXAMETHASONE IN ADULTS FOR THE PREVENTION OF ACUTE AND DELAYED NAUSEA AND VOMITING ASSOCIATED WITH INITIAL AND REPEAT COURSES OF CANCER CHEMOTHERAPY, INCLUDING, BUT NOT LIMITED TO, HIGHLY EMETOGENIC CHEMOTHERAPY"
U-137,METHOD OF TREATING BACTERIAL VAGINOSIS
U-1855,IMPROVEMENT IN GLYCEMIC CONTROL IN DIABETES MELLITUS PATIENTS
U-3306,"TREATMENT OF ADULT PATIENTS WITH KRAS G12C-MUTATED LOCALLY ADVANCED OR METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC), AS DETERMINED BY AN FDA-APPROVED TEST, WHO HAVE RECEIVED AT LEAST ONE PRIOR SYSTEMIC THERAPY"
U-3237,"TREATMENT OF CHRONIC HEPATITIS C VIRUS (HCV) GENOTYPE 1, 2, 3, 4, 5, OR 6 IN ADULT AND PEDIATRIC PATIENTS 12 YEARS AND OLDER OR WEIGHING AT LEAST 45 KG"
U-1551,"METHOD OF TREATING PAPILLARY RENAL CELL CARCINOMA WITH TEMSIROLIMUS, IN THE ABSENCE OF INTERFERON ALPHA."
U-2609,"A METHOD FOR INDUCING A REGIONAL ANAESTHESIA VIA INTRATHECAL ADMINISTRATION OF A PATENTED PRESERVATIVE FREE SOLUTION FOR INJECTION (WITH A SPECIFIC COMPOSITION, PH, OSMOLALITY AND DENSITY) CONTAINING 9-11 MG/ML CHLOROPROCAINE HCL"
U-706,TREATMENT OF BENIGN PROSTATIC HYPERPLASIA
U-2135,"AS MONOTHERAPY FOR THE TREATMENT OF ADULT PATIENTS WITH HR-POSITIVE, HER2-NEGATIVE ADVANCED OR METASTIC BREAST CANCER WITH DISEASE PROGRESSION FOLLOWING ENDOCRINE THERAPY AND PRIOR CHEMOTHERAPY IN THE METASTATIC SETTING"
U-1679,TREATMENT OF ACUTE OTITIS EXTERNA
U-2123,TREATMENT OF PARTIAL-ONSET SEIZURES IN PATIENTS WITH EPILEPSY WHO HAVE BEEN PREVIOUSLY TREATED WITH OXCARBAZEPINE
U-172,TREATMENT OF GENITAL WARTS
U-3506,TREATMENT OF INDOLENT SYSTEMIC MASTOCYTOSIS (ISM)
U-4,PROVIDING PREVENTION AND TREATMENT OF EMESIS AND NAUSEA IN MAMMALS
U-2951,USE OF CU-64 DOTATATE WITH POSITRON EMISSION TOMOGRAPHY (PET) FOR LOCALIZATION OF SOMATOSTATIN RECEPTOR POSITIVE NEUROENDOCRINE TUMORS (NETS) IN ADULT PATIENTS
U-3521,"TREATMENT OF EXCESSIVE DAYTIME SLEEPINESS BY ADMINISTERING SOLRIAMFETOL TO A SUBJECT HAVING MILD, MODERATE, OR SEVERE RENAL IMPAIRMENT"
U-1605,METHOD FOR ADMINISTERING PIRFENIDONE TO AVOID REDUCED EFFICACY BY DISCONTINUING SMOKING OR BY DISCONTINUING OR AVOIDING ANOTHER STRONG CYP1A2 INDUCER
U-847,"ADJUNCTIVE THERAPY TO DIET IN ADULTS TO REDUCE LDL-C, TRIGLYCERIDES AND APO B, AND INCREASE HDL-C IN PATIENTS WITH PRIMARY HYPERCHOLESTEROLEMIA OR MIXED DYSLIPIDEMIA (TYPES IIA, IIB) AND TO TREAT HYPERTRIGLYCERIDEMIA (TYPES IV, V)"
U-182,USE OF SALMETEROL IN PATIENTS WITH REVERSIBLE AIRWAY OBSTRUCTION
U-1060,ADJUNCTIVE THERAPY TO DIET IN PATIENTS WITH ELEVATED CHOLESTEROL AND/OR LIPID LEVELS
U-2941,A METHOD OF USING AN AEROSOL DELIVERY DEVICE TO AEROSOLIZE GLYCOPYRROLATE FOR THE TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-1863,TREATMENT OF STROKE
U-211,USE IN PATIENTS WITH REVERSIBLE AIRWAY OBSTRUCTION
U-1619,TREATMENT OF IMMUNE (IDIOPATHIC) THROMBOCYTOPENIA (ITP)
U-2157,TREATING TYPE 2 DIABETES MELLITUS BY STIMULATING INSULIN RELEASE
U-1996,IMPROVEMENT OF GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS
U-366,METHOD FOR THE TREATMENT OF CARDIOVASCULAR DISEASE THROUGH THE ADMINISTRATION OF A CALCIUM BLOCKING VASODILATOR IN A DELAYED RELEASE FORMULATION
U-726,ALLERGIC RHINITIS
U-1146,REDUCTION IN TG WITH REDUCED FLUSHING BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT
U-1478,METHOD OF REDUCING TG LEVELS IN PATIENT ON STATIN THERAPY SUFFERING FROM SEVERE HYPERTRIGLYCERIDEMIA
U-573,TREATMENT OF ACUTE PROMYELOGENOUS LEUKEMIA (APL)
U-798,TREATMENT AND PREVENTION OF OSTEOPOROSIS IN POSTMENOPAUSAL WOMEN BY ONCE-MONTHLY ORAL ADMINISTRATION OF IBANDRONATE SODIUM MONOHYDRATE EQUIVALENT TO 150MG OF IBANDRONIC ACID
U-3069,TREATMENT OF ACUTE UNCOMPLICATED INFLUENZA IN PATIENTS 6 MONTHS AND OLDER
U-204,USE OF TAXOL IN COMBINATION WITH G-CSF FOR TREATMENT OF PATIENTS WITH AIDS-RELATED KAPOSIS SARCOMA
U-1533,PULMONARY ADMINISTRATION OF PARTICLES COMPRISING A DIKETOPIPERAZINE AND INSULIN.
U-1648,"TREATMENT OF PATIENTS WITH PARKINSONS DISEASE, POST-ENCEPHALITIC PARKINSONISM, AND PARKINSONISM THAT MAY FOLLOW CARBON MONOXIDE INTOXICATION OR MANGANESE INTOXICATION"
U-1671,TREATMENT OF OCULAR ITCHING ASSOCIATED WITH CONJUNCTIVITIS
U-1221,TO STIMULATE THE IMMUNE SYSTEM TO INDUCE T CELL PROLIFERATION
U-1853,"METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-IV INHIBITOR IN COMBINATION WITH METFORMIN AND, OPTIONALLY, A SULFONYLUREA"
U-2533,A METHOD OF TREATING A CANCER CHARACTERIZED BY AN IDH1 MUTATION WHERE THE CANCER IS RELAPSED OR REFRACTORY ACUTE MYELOID LEUKEMIA (AML)
U-220,METHOD OF DIAGNOSIS
U-2369,"FOR THE TREATMENT OF GENOTYPE 1, 4, 5 OR 6 CHRONIC HEPATITIS C VIRUS (HCV) INFECTION"
U-255,IMPROVED WAKEFULNESS IN PATIENTS WITH EXCESSIVE DAYTIME SLEEPINESS ASSOCIATED WITH NARCOLEPSY
U-965,USE OF IXABEPILONE IN COMBINATION WITH CAPECITABINE IN TREATMENT OF METASTASIS BREAST CANCER
U-2445,"TREATMENT IN COMBINATION WITH AZACITIDINE OR DECITABINE OR LOW-DOSE CYTARABINE OF NEWLY-DIAGNOSED ACUTE MYELOID LEUKEMIA (AML) IN ADULTS WHO ARE AGE 75 YEARS OR OLDER, OR WHO HAVE COMORBIDITIES THAT PRECLUDE USE OF INTENSIVE INDUCTION CHEMOTHERAPY"
U-1403,FIRST-LINE TREATMENT OF METASTATIC NON SMALL-CELL LUNG CANCER (NSCLC) WITH EGFR EXON 19 DELETIONS OR EXON 21 (L858R) SUBSTITUTION MUTATIONS AS DETECTED BY AN FDA-APPROVED TEST
U-551,METHOD FOR REDUCING TOXICITY OF ALIMTA TREATED PATIENTS BY ADMINISTERING FOLIC ACID
U-3081,A METHOD TO DECREASE THE INCIDENCE OF CHEMOTHERAPY-INDUCED MYELOSUPPRESSION IN ADULT PATIENTS WHEN ADMINISTERED PRIOR TO A CARBOPLATIN AND ETOPOSIDE-CONTAINING REGIMEN FOR EXTENSIVE-STAGE SMALL CELL LUNG CANCER
U-3576,TREATMENT OF NARCOLEPSY-RELATED CATAPLEXY OR EXCESSIVE DAYTIME SLEEPINESS USING A ONCE-DAILY PHARMACEUTICAL FORMULATION COMPRISING AN OXYBATE
U-1101,METHOD OF TREATING EXCESSIVE DAYTIME SLEEPINESS IN PATIENTS WITH NARCOLEPSY
U-875,"FIRST-LINE TREATMENT OF LOCALLY ADVANCED UNRESECTABLE OR METASTATIC PANCREATIC CANCER, IN COMBINATION WITH GEMCITABINE"
U-1040,INHIBITION OF THROMBIN IN A PATIENT
U-269,EXCESS GH-SECRETION OR GASTRO-INTESTINAL DISORDERS
U-667,MANAGEMENT OF INCONTINENCE; METHOD FOR TREATING INCONTINENCE
U-124,TREATMENT OF ACNE
U-2130,TREATMENT OF PARTIAL ONSET SEIZURES IN PATIENTS WITH EPILEPSY AGED 16 YEARS AND OLDER WITH EPILEPSY
U-720,TREATMENT OF NEUROLEPTIC DISEASES
U-494,TREATMENT OF ATTENTION-DEFICIT HYPERACTIVITY DISORDER
U-1537,TREATMENT OF A PATIENT HAVING DIABETES MELLITUS WITH A PRANDIAL RAPID ACTING INSULIN.
U-2040,TREATMENT OF ADULT PATIENTS WITH CHRONIC HCV INFECTION WHO HAVE GENOTYPE 1A OR 3 INFECTION AND HAVE PREVIOUSLY BEEN TREATED WITH AN HCV REGIMEN CONTAINING SOFOSBUVIR WITHOUT AN NS5A INHIBITOR
U-835,RELIEF OF THE INFLAMMATORY AND PRURITIC MANIFESTATIONS OF ATOPIC DERMATITIS IN PATIENTS ONE YEAR OF AGE OR OLDER
U-3129,MANAGEMENT OF HEAVY MENSTRUAL BLEEDING ASSOCIATED WITH UTERINE LEIOMYOMAS (FIBROIDS) IN PREMENOPAUSAL WOMEN
U-393,"MANAGEMENT OF INCONTINENCE, MGT OF HORMONE REPLACEMENT THERAPY, TREATMENT OF INVOLUNTARY INCONTINENCE, MGT OVERACTIVE BLADDER AND INCREASING COMPLIANCE IN SUCH PT"
U-881,TREATMENT OF NON-SMALL CELL LUNG CANCER
U-1501,PROPHYLAXIS OF DEEP VEIN THROMBOSIS AND PULMONARY EMBOLISM
U-3409,"TREATING ADULT PATIENTS WITH INTERMEDIATE-2 OR HIGH-RISK PRIMARY OR SECONDARY MYELOFIBROSIS, MONITORING THIAMINE LEVELS AND ADMINISTERING THIAMINE OR A THIAMINE EQUIVALENT"
U-2339,"USE OF A PHARMACEUTICAL COMPOSITION COMPRISING LINAGLIPTIN, METFORMIN AND A BASIC AMINO ACID TO TREAT TYPE 2 DIABETES MELLITUS"
U-1038,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-4 INHIBITOR IN COMBINATION WITH METFORMIN AND A PPAR-GAMMA AGONIST
U-2757,DOSING REGIMEN FOR THE TREATMENT OF SCHIZOPHRENIA IN ADULTS BY ADMINISTERING TWO LOADING DOSES OF PALIPERIDONE PALMITATE FOLLOWED BY MAINTENANCE DOSE(S)
U-481,DISUBSTITUTED ACETYLENES BEARING HETEROAROMATIC AND HETEROBICYCLIC GROUPS HAVING RETINOID-LIKE ACTIVITY
U-1353,"ADJUNCTIVE THERAPY TO LIPID-LOWERING MEDICATIONS AND DIET TO REDUCE LOW DENSITY LIPOPROTEIN-CHOLESTEROL, APOLIPOPROTEIN B, TOTAL CHOLESTEROL, AND NON-HIGH DENSITY LIPOPROTEIN CHOLESTEROL IN PTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA"
