act_id,struct_id,target_id,target_name,target_class,accession,gene,swissprot,act_value,act_type,act_comment,act_source,relation,moa,moa_source,act_source_url,moa_source_url,action_type,first_in_class,tdl,act_ref_id,moa_ref_id,organism
218192,5309,1935,Plasma kallikrein,Enzyme,P03952,KLKB1,KLKB1_HUMAN,10.05,IC50,,IUPHAR,=,1.0,DRUG LABEL,https://pubmed.ncbi.nlm.nih.gov/30267321,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761090s000lbl.pdf,ANTIBODY BINDING,,Tclin,2548.0,2549.0,Homo sapiens
220904,74,5480,Nicotinate phosphoribosyltransferase,Enzyme,Q6XQN6,NAPRT,PNCB_HUMAN,9.3,Ki,Inhibition of NAPRT (unknown origin),CHEMBL,=,,,,,,,Tbio,,,Homo sapiens
164631,2113,110,Histamine H1 receptor,GPCR,P35367,HRH1,HRH1_HUMAN,8.088,Ki,,WOMBAT-PK,=,,,,,,,Tclin,,,Homo sapiens
37557,2495,535,Tyrosine-protein kinase Fyn,Kinase,P06241,FYN,FYN_HUMAN,5.431,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, Fyn enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
183976,397,72,Thymidine kinase,Kinase,Q9QNF7,TK,KITH_HHV1,6.62,Ki,Inhibition of Herpes simplex virus 1 recombinant thymidine kinase,CHEMBL,=,,,,,,,,,,Human herpesvirus 1
35927,1457,816,Mitogen-activated protein kinase 3,Kinase,P27361,MAPK3,MK03_HUMAN,5.279,IC50,"DRUGMATRIX: Protein Serine/Threonine Kinase, ERK1 enzyme inhibition (substrate: Myelin Basic Protein)",DRUG MATRIX,=,,,,,,,Tchem,,,Homo sapiens
26720,1805,151,Nuclear receptor subfamily 1 group I member 2,Nuclear hormone receptor,O75469,NR1I2,NR1I2_HUMAN,5.0,EC50,,IUPHAR,~,,,,,AGONIST,,Tchem,,,Homo sapiens
185705,2389,1735,Histamine H1 receptor,GPCR,P31389,HRH1,HRH1_CAVPO,7.66,Ki,Displacement of [3H]mepyramine from histamine H1 receptor in guinea pig cerebellum after 60 mins by liquid scintillation counting analysis,CHEMBL,=,,,,,,,,,,Cavia porcellus
188943,4903,2317,Misshapen-like kinase 1,Kinase,Q8N4C8,MINK1,MINK1_HUMAN,7.09,Kd,Binding constant for MINK kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
215678,228,131,5-hydroxytryptamine receptor 1D,GPCR,P28221,HTR1D,5HT1D_HUMAN,5.91,Ki,,PDSP,,,,,,,,Tclin,,,Homo sapiens
37680,2561,158,D(4) dopamine receptor,GPCR,P21917,DRD4,DRD4_HUMAN,5.407,Ki,DRUGMATRIX: Dopamine D4.2 radioligand binding (ligand: [3H] Spiperone),DRUG MATRIX,=,,,,,,,Tchem,,,Homo sapiens
220922,5288,1976,Fatty-acid amide hydrolase 1,Enzyme,P97612,Faah,FAAH1_RAT,4.27,IC50,Inhibition of FAAH in rat brain membranes using [14C]-AEA as substrate measured after 30 mins by scintillation counting method,CHEMBL,=,,,,,,,,,,Rattus norvegicus
163022,812,98,Sodium-dependent serotonin transporter,Transporter,P31645,SLC6A4,SC6A4_HUMAN,7.755,Kd,,WOMBAT-PK,=,,,,,,,Tclin,,,Homo sapiens
162469,864,330,Carbonic anhydrase 12,Enzyme,O43570,CA12,CAH12_HUMAN,7.301,Ki,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL17,INHIBITOR,,Tclin,,,Homo sapiens
181524,2233,1865,D(3) dopamine receptor,GPCR,P19020,Drd3,DRD3_RAT,9.35,Ki,Displacement of [3H]R(+)-7-OH-DPAT from Sprague-Dawley rat dopamine D3 receptor after 90 mins,CHEMBL,=,,,,,,,,,,Rattus norvegicus
216402,3952,1749,5-hydroxytryptamine receptor 1A,GPCR,P19327,Htr1a,5HT1A_RAT,5.68,IC50,,CHEMBL,=,,,,,,,,,,Rattus norvegicus
181909,2121,1881,Cholinesterase,Enzyme,Q03311,Bche,CHLE_MOUSE,6.28,Ki,Compound was evaluated for the protection of butyrylcholinesterase against DFT in mice,CHEMBL,=,,,,,,,,,,Mus musculus
33961,333,108,D(3) dopamine receptor,GPCR,P35462,DRD3,DRD3_HUMAN,6.654,Ki,DRUGMATRIX: Dopamine D3 radioligand binding (ligand: [3H] Spiperone),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
220901,2237,667,Bile acid receptor,Nuclear hormone receptor,Q96RI1,NR1H4,NR1H4_HUMAN,4.82,EC50,Partial agonist activity at human full-length FXR expressed in human HeLa cells co-expressing pSG5-RXR measured after 24 hrs by dual-glo luciferase reporter gene assay,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
26871,2601,100,5-hydroxytryptamine receptor 1A,GPCR,P08908,HTR1A,5HT1A_HUMAN,8.5,Ki,,IUPHAR,=,,,,,AGONIST,,Tclin,,,Homo sapiens
188091,4225,892,Cyclin-dependent kinase 16,Kinase,Q00536,CDK16,CDK16_HUMAN,5.28,Kd,Binding constant for PCTK1 kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
223192,880,6279,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,Unclassified,Q8TDX5,ACMSD,ACMSD_HUMAN,5.59,Ki,Competitive inhibition of human ACMSD using ACMS substrate by spectrometry,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
165301,4501,470,Cytochrome P450 2C19,Enzyme,P33261,CYP2C19,CP2CJ_HUMAN,,,,WOMBAT-PK,,,,,,,,Tchem,,,Homo sapiens
218860,5347,2238,Mitogen-activated protein kinase kinase kinase 9,Kinase,P80192,MAP3K9,M3K9_HUMAN,5.5,Kd,Binding constant for MLK1 kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
186606,3178,3481,Protein-tyrosine phosphatase 1C,Enzyme,P29350,PTPN6,PTN6_HUMAN,4.18,IC50,Inhibition of recombinant SHP1,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
180958,52,319,Carbonic anhydrase 9,Enzyme,Q16790,CA9,CAH9_HUMAN,4.15,Ki,Inhibition of human carbonic anhydrase 9 catalytic domain by stopped-flow CO2 hydration assay,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
223026,1751,5990,Bifunctional purine biosynthesis protein PURH,Enzyme,P31939,ATIC,PUR9_HUMAN,6.06,Ki,Inhibition of human full length N-terminal His-tagged ATIC expressed in Chinese Hamster MTXRII-OuaR2-4 R2 cells assessed as reduction in THF formation using 10-CHOTHF as substrate by spectrophotometric method,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
185072,203,94,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.68,IC50,Inhibition of human ERG potassium channel,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
164271,1751,191,ATP-binding cassette sub-family G member 2,Transporter,Q9UNQ0,ABCG2,ABCG2_HUMAN,,,,WOMBAT-PK,,,,,,,,Tchem,,,Homo sapiens
187802,4187,2084,Cyclin-dependent kinase 7,Kinase,P50613,CDK7,CDK7_HUMAN,6.48,Kd,Binding constant for CDK7 kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
189190,2697,632,Catechol O-methyltransferase,Enzyme,P21964,COMT,COMT_HUMAN,9.569,Ki,,SCIENTIFIC LITERATURE,=,1.0,CHEMBL,https://pubmed.ncbi.nlm.nih.gov/7703232,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1324,INHIBITOR,1.0,Tclin,389.0,,Homo sapiens
36993,2142,1711,Alpha-1B adrenergic receptor,GPCR,P15823,Adra1b,ADA1B_RAT,7.347,Ki,DRUGMATRIX: Alpha-1B adrenergic receptor radioligand binding (ligand: prazosin),DRUG MATRIX,=,,,,,,,,,,Rattus norvegicus
216705,2337,1732,Alpha-1A adrenergic receptor,GPCR,P43140,Adra1a,ADA1A_RAT,7.06,IC50,,CHEMBL,=,,,,,,,,,,Rattus norvegicus
222199,5280,2181,Casein kinase II subunit alpha',Kinase,P19784,CSNK2A2,CSK22_HUMAN,7.85,Kd,Binding constant for CSNK2A2 kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
188557,4512,3494,Inositol-1(or 4)-monophosphatase 1,Enzyme,P29218,IMPA1,IMPA1_HUMAN,,,Mechanism of Action; CHEMBL1786; SINGLE PROTEIN,CHEMBL,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201170,INHIBITOR,,Tclin,,,Homo sapiens
220412,113,5123,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,Enzyme,Q8WUK0,PTPMT1,PTPM1_HUMAN,7.97,IC50,Activity measured in the presence of substrate O-MFP in an in vitro assay,SCIENTIFIC LITERATURE,=,,,https://pubmed.ncbi.nlm.nih.gov/20167843,,INHIBITOR,,Tbio,3190.0,,Homo sapiens
221835,5280,2227,Serine/threonine-protein kinase MARK1,Kinase,Q9P0L2,MARK1,MARK1_HUMAN,6.57,Kd,Binding constant for MARK1 kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
192302,2800,113,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,8.56,Ki,DRUGMATRIX: Muscarinic M1 radioligand binding (ligand: [3H] N-Methylscopolamine),CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
181066,1920,2727,Neuronal acetylcholine receptor; alpha4/beta2,Ion channel,P09483|P12390,Chrna4|Chrnb2,ACHA4_RAT|ACHB2_RAT,9.4,Kd,GRAC: rat AChR-alpha4-beta2 radioligand,CHEMBL,=,,,,,,,,,,Rattus norvegicus
183475,1202,2759,GABA-A receptor; anion channel,Ion channel,O09028|P15431|P18506|P18508|P19969|P20236|P23574|P23576|P28471|P28473|P30191|P62813|P63079|P63138|Q91ZM7|Q9ES14,Gabrp|Gabrb1|Gabrd|Gabrg2|Gabra5|Gabra3|Gabrg1|Gabra2|Gabra4|Gabrg3|Gabra6|Gabra1|Gabrb3|Gabrb2|Gabrq|Gabre,GBRP_RAT|GBRB1_RAT|GBRD_RAT|GBRG2_RAT|GBRA5_RAT|GBRA3_RAT|GBRG1_RAT|GBRA2_RAT|GBRA4_RAT|GBRG3_RAT|GBRA6_RAT|GBRA1_RAT|GBRB3_RAT|GBRB2_RAT|Q91ZM7_RAT|GBRE_RAT,8.82,IC50,Displacement of [3H]diazepam from GABA-A Benzodiazepine receptor of rat forebrain,CHEMBL,=,,,,,,,,,,Rattus norvegicus
221784,4810,748,LIM domain kinase 1,Kinase,P53667,LIMK1,LIMK1_HUMAN,4.68,Kd,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
222946,1517,525,Apoptosis regulator Bcl-2,Cytosolic other,P10415,BCL2,BCL2_HUMAN,6.47,Kd,Binding affinity to human recombinant Bcl-2 expressed in Escherichia coli by Surface plasmon resonance assay,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
186933,1365,251,Acetylcholinesterase,Enzyme,P22303,ACHE,ACES_HUMAN,,,Mechanism of Action; CHEMBL220; SINGLE PROTEIN,CHEMBL,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201349,INHIBITOR,,Tclin,,,Homo sapiens
181374,2551,2077,Cholinesterase,Enzyme,P81908,BCHE,CHLE_HORSE,8.61,IC50,Inhibition of equine BuChE using butyrylthiocholine iodide as substrate preincubated for 5 mins before substrate addition measured for 10 mins by Ellman's method,CHEMBL,=,,,,,,,,,,Equus caballus
222228,4946,5957,Beta-lactamase,Enzyme,A8DS27,blaKPC-2,A8DS27_ECOLX,7.96,Ki,Inhibition of recombinant Escherichia coli KPC-2 using nitrocefin as substrate preincubated for 10 mins followed by substrate addition and measured every 10 secs for 10 mins by spectrophotometric analysis,CHEMBL,=,,,,,,,,,,Escherichia coli
222975,564,5390,Alpha-synuclein,Transporter,P37840,SNCA,SYUA_HUMAN,6.28,Kd,Binding affinity to alpha-synuclein (unknown origin) expressed in Escherichia coli BL21(DE3) by circular dichroism analysis,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
221138,1574,920,Solute carrier family 22 member 1,Transporter,O15245,SLC22A1,S22A1_HUMAN,5.1,IC50,Inhibition of human OCT1 expressed in HEK293 cells assessed as reduction in ASP+ substrate uptake by microplate reader based analysis,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
26521,99,101,5-hydroxytryptamine receptor 2A,GPCR,P28223,HTR2A,5HT2A_HUMAN,5.4,Ki,,IUPHAR,=,,,,,ANTAGONIST,,Tclin,,,Homo sapiens
184896,437,1858,Alpha-1A adrenergic receptor,GPCR,P18130,ADRA1A,ADA1A_BOVIN,4.8,IC50,Binding affinity against alpha-1 adrenergic receptor in calf frontal cortex,CHEMBL,=,,,,,,,,,,Bos taurus
187900,4190,2214,Serine/threonine-protein kinase PAK 6,Kinase,Q9NQU5,PAK6,PAK6_HUMAN,5.54,Kd,Binding constant for PAK6 kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
36126,1599,170,Alpha-1D adrenergic receptor,GPCR,P25100,ADRA1D,ADA1D_HUMAN,5.599,Ki,DRUGMATRIX: Alpha-1D adrenergic receptor radioligand binding (ligand: prazosin),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
216769,1531,3872,CAAX prenyl protease 2,Enzyme,Q03530,RCE1,RCE1_YEAST,4.82,AC50,Active,CHEMBL,=,,,,,,,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
185295,2544,2137,Non-receptor tyrosine-protein kinase TYK2,Kinase,P29597,TYK2,TYK2_HUMAN,6.44,Kd,Binding affinity to TYK2(JH2domain-pseudokinase),CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
184679,1280,165,DNA gyrase subunit A,Enzyme,P9WG47,gyrA,GYRA_MYCTU,5.03,IC50,Inhibition of DNA supercoiling activity of wild type Mycobacterium tuberculosis DNA gyrase A,CHEMBL,=,,,,,,,,,,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
217204,2815,4073,Two pore calcium channel protein 2,Ion channel,Q8NHX9,TPCN2,TPC2_HUMAN,5.0,IC50,,IUPHAR,=,,,,,BLOCKER,,,,,Homo sapiens
185418,726,2869,Tubulin,Structural,P02550|P02554,TUBA1A,TBA1A_PIG|TBB_PIG,5.24,Ki,Binding affinity against tubulin usingf [3H]-colchicine as radioligand,CHEMBL,=,,,,,,,,,,Sus scrofa
218817,5347,883,Cyclin-G-associated kinase,Kinase,O14976,GAK,GAK_HUMAN,8.96,Kd,Binding constant for GAK kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
221006,1797,642,Potassium channel subfamily K member 9,Ion channel,Q9NPC2,KCNK9,KCNK9_HUMAN,4.61,IC50,Inhibition of human TASK3 expressed in HEK293 cells by Ti+ flux assay,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
215944,215,3834,Testosterone 17-beta-dehydrogenase 3,Enzyme,O54939,Hsd17b3,DHB3_RAT,6.77,IC50,,CHEMBL,=,,,,,,,,,,Rattus norvegicus
163067,1830,83,D(2) dopamine receptor,GPCR,P14416,DRD2,DRD2_HUMAN,6.157,IC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL460,ANTAGONIST,,Tclin,,,Homo sapiens
216786,5039,2436,Carbonic anhydrase,Enzyme,Q2PCB5,ca,Q2PCB5_DICLA,5.03,Ki,,CHEMBL,=,,,,,,,,,,Dicentrarchus labrax
220250,5426,679,Tyrosine-protein kinase JAK1,Kinase,P23458,JAK1,JAK1_HUMAN,8.55,IC50,ATP concentration at the Km specific for JAK1 of 40 μM,SCIENTIFIC LITERATURE,=,1.0,SCIENTIFIC LITERATURE,https://pubmed.ncbi.nlm.nih.gov/25387665,https://pubmed.ncbi.nlm.nih.gov/25387665,INHIBITOR,,Tclin,3057.0,3057.0,Homo sapiens
34260,654,102,5-hydroxytryptamine receptor 2B,GPCR,P41595,HTR2B,5HT2B_HUMAN,6.333,Ki,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2B radioligand binding (ligand: [3H] Lysergic acid diethylamide),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
35972,1527,621,Thromboxane-A synthase,Enzyme,P24557,TBXAS1,THAS_HUMAN,5.665,IC50,DRUGMATRIX: Thromboxane Synthetase enzyme inhibition (substrate: PGH2),DRUG MATRIX,=,,,,,,,Tchem,,,Homo sapiens
181979,2332,2610,Multidrug and toxin extrusion protein 1,Unclassified,Q8K0H1,Slc47a1,S47A1_MOUSE,6.84,Ki,Inhibition of mouse Mate1 transfected in HEK293 cells assessed as uptake of [14C]-TEA preincubated for 15 mins by liquid scintillation counting analysis,CHEMBL,=,,,,,,,,,,Mus musculus
162818,260,117,Muscarinic acetylcholine receptor M5,GPCR,P08912,CHRM5,ACM5_HUMAN,9.29,Ki,,WOMBAT-PK,=,,,,,,,Tclin,,,Homo sapiens
182011,754,436,Dihydrofolate reductase,Enzyme,P16184,,DYR_PNECA,7.63,Ki,Binding affinity was reported with purified recombinant Pneumocystis carinii Dihydrofolate reductase,CHEMBL,=,,,,,,,,,,Pneumocystis carinii
222179,4937,6019,Peroxisomal acyl-coenzyme A oxidase 1,Enzyme,Q15067,ACOX1,ACOX1_HUMAN,6.57,Kd,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
35824,1355,90,Alpha-2A adrenergic receptor,GPCR,P08913,ADRA2A,ADA2A_HUMAN,6.339,Ki,DRUGMATRIX: Alpha-2A adrenergic receptor radioligand binding (ligand: MK-912),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
216778,5201,696,"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A",Enzyme,Q13946,PDE7A,PDE7A_HUMAN,6.14,IC50,,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
217652,1211,1801,D(1A) dopamine receptor,GPCR,Q95136,DRD1,DRD1_BOVIN,7.75,Ki,Binding affinity of compound towards Dopamine receptor D1 using [3H]SCH-23390 (0.5 nM) ligand in striatum bovine was determined,CHEMBL,=,,,,,,,,,,Bos taurus
186892,1423,682,Carbonic anhydrase 3,Enzyme,P07451,CA3,CAH3_HUMAN,6.28,Ki,Inhibition of human carbonic anhydrase 3 by stopped flow CO2 hydration assay,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
164313,2298,172,Alpha-1B adrenergic receptor,GPCR,P35368,ADRA1B,ADA1B_HUMAN,,,,WOMBAT-PK,,,,,,,,Tclin,,,Homo sapiens
187873,4190,871,Dual specificity protein kinase CLK2,Kinase,P49760,CLK2,CLK2_HUMAN,6.34,Kd,Binding constant for CLK2 kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
217209,2824,115,Muscarinic acetylcholine receptor M3,GPCR,P20309,CHRM3,ACM3_HUMAN,5.2,Kd,,IUPHAR,=,,,,,ALLOSTERIC MODULATOR,,Tclin,,,Homo sapiens
34188,621,91,Sigma non-opioid intracellular receptor 1,Membrane receptor,Q99720,SIGMAR1,SGMR1_HUMAN,6.724,Ki,DRUGMATRIX: Sigma1 radioligand binding (ligand: [3H] Haloperidol),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
142193,2678,2538,Muscarinic acetylcholine receptor,GPCR,F1PWR7,CHRM2,F1PWR7_CANFA,8.94,Ki,radioligand ([3H]QNB) displacement assay,SCIENTIFIC LITERATURE,=,,,https://pubmed.ncbi.nlm.nih.gov/8839659,,,,,61.0,,Canis familiaris
38058,3018,251,Acetylcholinesterase,Enzyme,P22303,ACHE,ACES_HUMAN,5.649,IC50,DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
189223,5022,101,5-hydroxytryptamine receptor 2A,GPCR,P28223,HTR2A,5HT2A_HUMAN,7.31,Ki,,SCIENTIFIC LITERATURE,=,1.0,DRUG LABEL,https://pubmed.ncbi.nlm.nih.gov/12177684,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022526lbl.pdf,ANTAGONIST,,Tclin,416.0,417.0,Homo sapiens
188465,4359,2231,Tyrosine-protein kinase Mer,Kinase,Q12866,MERTK,MERTK_HUMAN,6.96,Kd,Binding constant for MERTK kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
181409,3591,2854,Adrenergic receptor alpha-1,GPCR,P15823|P23944|P43140,Adra1b|Adra1d|Adra1a,ADA1B_RAT|ADA1D_RAT|ADA1A_RAT,5.8,IC50,Binding affinity against alpha-1 adrenergic receptor is the ability to inhibit the specific [3H]prazosin binding (0.2 nM) to rat isolated brain membranes by 50% was reported; 1.6*10e-6,CHEMBL,=,,,,,,,,,,Rattus norvegicus
188227,4318,868,Tyrosine-protein kinase FRK,Kinase,P42685,FRK,FRK_HUMAN,5.85,Kd,Binding constant for FRK kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
216946,6,150,Intermediate conductance calcium-activated potassium channel protein 4,Ion channel,O15554,KCNN4,KCNN4_HUMAN,7.6,IC50,,IUPHAR,=,,,,,BLOCKER,,Tchem,,,Homo sapiens
217962,5231,1253,Inhibitor of nuclear factor kappa-B kinase subunit beta,Kinase,O14920,IKBKB,IKKB_HUMAN,5.2,Kd,Binding constant for IKK-beta kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
220592,629,383,Mast/stem cell growth factor receptor Kit,Kinase,P10721,KIT,KIT_HUMAN,4.8,IC50,Inhibition of N-terminal GST-His-tagged c-KIT (544 to 976 amino acids) D816V mutant (unknown origin) expressed in Sf9 insect cells using poly[Glu:Tyr] (4:1) as substrate preincubated for 20 mins followed by [33P-gamma]ATP addition and subsequent inhibition for 2 hrs by radiometric assay,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
95758,1795,347,Aldo-keto reductase family 1 member C3,Enzyme,P42330,AKR1C3,AK1C3_HUMAN,6.12,Ki,,WOMBAT-PK,=,,,,,,,Tchem,,,Homo sapiens
182451,180,920,Solute carrier family 22 member 1,Transporter,O15245,SLC22A1,S22A1_HUMAN,4.77,IC50,Inhibition of 4-(4-(dimethylamino)styryl)-N-methylpyridinium uptake at human OCT1 expressed in HEK293 cells by confocal microscopy,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
185878,945,108,D(3) dopamine receptor,GPCR,P35462,DRD3,DRD3_HUMAN,8.46,Ki,Displacement of [125I]iodosulpiride from human Dopamine receptor D3 expressed in CHO cells,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
219155,4267,2031,Polyphenol oxidase 2,Enzyme,O42713,PPO2,PPO2_AGABI,4.0,IC50,Inhibition of mushroom tyrosinase using L-tyrosine as a substrate after 30 mins by spectrophotometric method,CHEMBL,=,,,,,,,,,,Agaricus bisporus
220660,1920,3917,Transient receptor potential cation channel subfamily A member 1,Ion channel,Q8BLA8,Trpa1,TRPA1_MOUSE,5.0,EC50,Agonist activity at mouse TRPA1 expressed in CHO cells assessed as increase in calcium influx by patch clamp electrophysiology method,CHEMBL,=,,,,,,,,,,Mus musculus
223576,3514,1047,Cystic fibrosis transmembrane conductance regulator,Ion channel,P13569,CFTR,CFTR_HUMAN,4.59,Kd,Binding affinity to sensorchip-immobilized human His-tagged CFTR F508 deletion mutant by surface plasmon resonance analysis,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
216674,1001,1732,Alpha-1A adrenergic receptor,GPCR,P43140,Adra1a,ADA1A_RAT,5.19,IC50,,CHEMBL,=,,,,,,,,,,Rattus norvegicus
187309,3483,2421,14-alpha sterol demethylase Cyp51A,Enzyme,Q4WNT5,,Q4WNT5_ASPFU,5.57,Kd,Binding affinity to Aspergillus fumigatus AF293 sterol 14-alpha demethylase isoenzyme A expressed in Escherichia coli,CHEMBL,=,,,,,,,,,,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)
37909,2717,107,Alpha-2B adrenergic receptor,GPCR,P18089,ADRA2B,ADA2B_HUMAN,6.75,Ki,DRUGMATRIX: Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
188581,4608,1932,Tyrosine-protein phosphatase 1,Enzyme,P25044,PTP1,PTP1_YEAST,5.13,IC50,Inhibitory activity against Saccharomyces cerevisiae Tyrosine phosphatase 1,CHEMBL,=,,,,,,,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
220281,5410,203,Androgen receptor,Nuclear hormone receptor,P10275,AR,ANDR_HUMAN,7.3,IC50,Activity measured in LNCaP cells,DRUG LABEL,=,,,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/213433Orig1s000MultidisciplineR.pdf,,ANTAGONIST,1.0,Tclin,3080.0,,Homo sapiens
185757,3481,2869,Tubulin,Structural,P02550|P02554,TUBA1A,TBA1A_PIG|TBB_PIG,5.66,Ki,Binding affinity against tubulin using [3H]colchicine as radioligand,CHEMBL,=,,,,,,,,,,Sus scrofa
181489,2558,2850,Adrenergic receptor alpha-2,GPCR,P19328|P22086|P22909,Adra2b|Adra2c|Adra2a,ADA2B_RAT|ADA2C_RAT|ADA2A_RAT,7.6,IC50,Binding affinity against Alpha-2 adrenergic receptor is the ability to inhibit the specific [3H]clonidine binding (0.4 nM) to rat isolated brain membranes by 50% was reported; 2.5*10e-8,CHEMBL,=,,,,,,,,,,Rattus norvegicus
223541,1992,2389,5-hydroxytryptamine receptor 3A,Ion channel,O70212,HTR3A,5HT3A_CAVPO,7.11,Kd,Antagonist activity at 5-HT3 receptor in guinea-pig ileum assessed as inhibition of 5HT-induced contraction incubated for 15 mins,CHEMBL,=,,,,,,,,,,Cavia porcellus
163000,1342,99,Sodium-dependent noradrenaline transporter,Transporter,P23975,SLC6A2,SC6A2_HUMAN,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL765,SUBSTRATE,,Tclin,,,Homo sapiens
183244,1071,814,Glutathione S-transferase A1,Enzyme,P08263,GSTA1,GSTA1_HUMAN,5.3,IC50,Inhibition of GST A1-1,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
223382,5678,3648,Granulocyte colony-stimulating factor receptor,Membrane receptor,Q99062,CSF3R,CSF3R_HUMAN,8.44,Kd,,DRUG LABEL,=,1.0,DRUG LABEL,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/761148Orig1s000PharmR.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761148Orig1s000Corrected_lbl.pdf,AGONIST,,Tclin,3530.0,3529.0,Homo sapiens
33709,176,546,Receptor tyrosine-protein kinase erbB-2,Kinase,P04626,ERBB2,ERBB2_HUMAN,5.039,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, ERBB2 (HER2) enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
