prodid,appl_type,appl_no,trade_name,applicant,active_ingredients_count
1535,A,200-588,FLORFENICOL INJECTION,Sparhawk Laboratories Inc.,1
1072,N,141-359,None (Med Gas),Air Liquide Large Industries U.S. L.P.,2
1445,A,200-451,HeifermaX 500 plus Bovatec,Elanco US Inc.,2
88,N,012-375,Albamix Feed Medication,Zoetis Inc.,1
851,N,140-976,"Neomix Ag 325 Medicated Premix, Neomix 325 Medicated Premix",Zoetis Inc.,1
1004,N,141-261,Sentry HC Worm X Plus,Virbac AH Inc.,2
155,N,031-553,"ESB 3 Soluble Powder, ESB 3 Solution",Zoetis Inc.,1
1497,A,200-536,Mometavet,Med-Pharmex Inc.,3
1197,N,141-543,Draxxin KP,Zoetis Inc.,2
1041,N,141-312,Hexasol Injection,"Norbrook Laboratories, Ltd.",2
761,N,138-952,Maxiban 72,Elanco US Inc.,2
1269,A,200-178,Amikacin Sulfate Injection,Cronus Pharma Specialities India Private Limited,1
1344,A,200-301,Privasan Antiseptic Ointment,First Priority Inc.,1
1614,A,200-697,Enrofloxacin,Accord Healthcare Inc.,1
1263,A,200-164,BMD / Nicarmix 25,Planalquimica Industrial Ltda.,2
1085,N,141-381,None (Med Gas),Airgas Merchant Gases LLC,2
1598,A,200-678,Optigrid and Monovet and Tylovet and MGA,Huvepharma EOOD,4
1141,N,141-456,SILEO,Orion Corp.,1
121,N,015-030,PromAce Injectable,Boehringer lngelheim Animal Health USA Inc.,1
790,N,140-578,SOLU-TET,Zoetis Inc.,1
554,N,101-161,Thenatol PW Tablets,Intervet Inc.,2
84,N,012-204,Depo-Medrol,Zoetis Inc.,1
1139,N,141-452,Simparica,Zoetis Inc.,1
670,N,126-676,D & T Worm Capsules,Cronus Pharma Specialities India Private Limited,2
187,N,034-266,Famix Famphur Premix,Intervet Inc.,1
419,N,065-252,STREP SOL,Huvepharma EOOD,1
1345,A,200-302,Iverhart Plus Flavored Chewables,Virbac AH Inc.,2
315,N,047-334,Synsac Solution,Zoetis Inc.,2
624,N,115-732,Stresnil Injection,Elanco US Inc.,1
651,N,121-553,Aureomycin / Coban,Zoetis Inc.,2
1333,A,200-283,Vetro-Max,Fougera Pharmaceuticals Inc.,3
134,N,015-875,TBZ 200 Medicated Feed Premix,Boehringer lngelheim Animal Health USA Inc.,1
977,N,141-224,Optaflexx and Rumensin and Tylan,Elanco US Inc.,3
750,N,138-612,"Finaplix-H, Finaplix-S",Intervet Inc.,1
1390,A,200-360,"Tiagard, Tiamulin Liquid Concentrate",Elanco US Inc.,1
82,N,012-123,"Erythro - 100, 200, Gallimycin-100",Bimeda Animal Health Limited,1
547,N,100-402,Telmin B Equine Wormer,Intervet Inc.,2
529,N,098-989,Gentocin Ophthalmic Ointment,Intervet Inc.,1
1612,A,200-695,TIA 12.5%,Virbac AH Inc.,1
1170,N,141-500,None (Med Gas),A-OX Welding Supply Co. Inc.,2
423,N,065-275,Penicillin VK Filmtab 250 mg,Boehringer lngelheim Animal Health USA Inc.,1
522,N,098-378,Nicarbazin / Bacitracin Premix,Phibro Animal Health Corp.,2
785,N,140-439,Eqvalan Oral Liquid For Horses,Boehringer lngelheim Animal Health USA Inc.,1
1204,A,200-007,Liqui-Vict 2X,Happy Jack Inc.,1
1181,N,141-521,Simparica Trio,Zoetis Inc.,3
557,N,101-629,Flavomycin / Zoalene,Huvepharma EOOD,2
336,N,049-287,"PfiChlor 50, PfiChlor 70, PfiChlor 100",Zoetis Inc.,1
1623,A,200-707,Tilmovet AC,Huvepharma EOOD,1
600,N,110-399,"Gleptosil, Heptomer Injection",Ceva Sante Animale,1
376,N,055-080,Amoxi-Doser,Zoetis Inc.,1
949,N,141-188,Marquis Antiprotozoal Oral Paste,Boehringer lngelheim Animal Health USA Inc.,1
362,N,055-058,Dry-Clox Intramammary Infusion,Boehringer lngelheim Animal Health USA Inc.,1
1615,A,200-699,Dexmedetomidine Hydrochloride Injection,Akorn Animal Health Inc.,1
639,N,119-141,Tranquazine Injection,Bimeda Animal Health Limited,1
807,N,140-847,Animax Ointment,Fougera Pharmaceuticals Inc.,4
1492,A,200-531,Rumensin plus Tylovet 100,Huvepharma EOOD,2
1143,N,141-458,Equioxx,Boehringer lngelheim Animal Health USA Inc.,1
1132,N,141-443,onsior injection,Elanco US Inc.,1
688,N,130-185,Flavomycin and Amprol/ Amprol 25% and Flavomycin,Huvepharma EOOD,2
1626,A,200-711,TULAVEN 100,Ceva Sante Animale,1
969,N,141-215,Equimax,Virbac AH Inc.,2
1238,A,200-109,Velenium,Zoetis Inc.,2
410,N,065-124,Tetracycline,Zoetis Inc.,1
13,N,006-707,Sulquin 6-50 Concentrate,Zoetis Inc.,1
1500,A,200-540,Meloxicam Solution for Injection,Dechra Veterinary Products LLC,1
405,N,065-114,Mycitracin Sterile Ophthalmic Ointment,Zoetis Inc.,3
539,N,099-606,Dexameth-A-Vet Injection,Bimeda Animal Health Limited,1
74,N,011-877,Jenotone Tablets,Intervet Inc.,1
1261,A,200-154,"Oxytetracycline 200, Pennox 200",Pharmgate Inc.,1
400,N,065-087,Longicil Fortified,Zoetis Inc.,2
923,N,141-140,BMD / Coban,Zoetis Inc.,2
1402,A,200-375,HeifermaX 500 / Rumensin / Tylan,Elanco US Inc.,3
306,N,046-788,Oxytocin Injection,Zoetis Inc.,1
1231,A,200-089,Baciferm / Sacox,Huvepharma EOOD,2
957,N,141-201,Aureomycin and Cattlyst,Zoetis Inc.,2
1421,A,200-408,Butorphanol Tartrate Injection,Dechra Veterinary Products LLC,1
888,N,141-067,Oxyglobin,OPK Biotech LLC,1
1082,N,141-374,None (Med Gas),Messer Gas Puerto Rico Inc.,2
1150,N,141-467,Inteprity and Monteban,Elanco US Inc.,2
1482,A,200-514,Boviprol 9.6% Oral Solution,Phibro Animal Health Corp.,1
164,N,032-738,Pacitran,Zoetis Inc.,1
48,N,010-918,"Hygromix 8, Hygromix 2.4",Elanco US Inc.,1
1447,A,200-455,BiloVet,Bimeda Animal Health Limited,1
99,N,012-991,Kopertox,Zoetis Inc.,1
585,N,107-346,Rintal Suspension,Elanco US Inc.,1
898,N,141-081,Orbax Tablets,Intervet Inc.,1
648,N,120-648,"panacur, safe-guard",Intervet Inc.,1
63,N,011-532,Sulfabrom 2.5 g,Boehringer lngelheim Animal Health USA Inc.,1
281,N,045-143,Oxyject,Cronus Pharma Specialities India Private Limited,1
1571,A,200-647,Actogain and Monovet and Tylan,Huvepharma EOOD,3
838,N,140-926,BMD / Maxiban,Elanco US Inc.,3
564,N,102-437,Tramisol Injectable Solution,Zoetis Inc.,1
312,N,047-138,Spotton 20% Ready-to-Use Cattle Insecticide,Elanco US Inc.,1
132,N,015-433,Neo-Predef with Tetracaine Powder,Zoetis Inc.,3
1008,N,141-265,NuflorGOLD,Intervet Inc.,1
479,N,092-955,Banminth / Mecadox,Phibro Animal Health Corp.,2
1400,A,200-373,Furosemide Syrup 1%,First Priority Inc.,1
950,N,141-189,ProHeart 6,Zoetis Inc.,1
1386,A,200-356,Pennchlor / Denagard,Pharmgate Inc.,2
1216,A,200-046,Neomycin Sulfate,Zoetis Inc.,1
216,N,037-700,Bactrovet Oral Suspension 12.5%,Intervet Inc.,1
136,N,030-103,Thibenzole (18 mg),Boehringer lngelheim Animal Health USA Inc.,1
83,N,012-198,Vetalog Parenteral,Boehringer lngelheim Animal Health USA Inc.,1
397,N,065-069,Tetrachel-Vet Capsules 500,Zoetis Inc.,1
599,N,110-315,"Component E-C with Tylan, Component E-S with Tylan",Elanco US Inc.,3
902,N,141-085,BMD / Zoamix,Zoetis Inc.,2
299,N,046-592,"BMD 30 Granular A, BMD 50 Granular A, BMD 30, BMD 50, BMD 60",Zoetis Inc.,1
1499,A,200-538,ClindaMed Oral Drops,Bimeda Animal Health Limited,1
1054,N,141-331,Prascend,Boehringer lngelheim Animal Health USA Inc.,1
1091,N,141-389,None (Med Gas),Praxair Inc.,2
1039,N,141-305,Orbax,Intervet Inc.,1
360,N,055-051,"Chloromycetin Tablets 100 mg, Chloromycetin Tablets 250 mg, Chloromycetin Tablets 500 mg",Zoetis Inc.,1
1086,N,141-382,None (Med Gas),Airgas Merchant Gases LLC,2
676,N,128-069,Nemacide Chewable Tablets,Cronus Pharma Specialities India Private Limited,1
636,N,118-877,"Ban-A-Worm Py. Tartrate, Ban-A-Worm Pyrantel Tartrate Ton Pack",ADM Animal Nutrition,1
196,N,034-872,Neo Predef Sterile Ointment,Zoetis Inc.,2
1118,N,141-423,HALAMID AQUA,Axcentive SARL,1
240,N,040-209,Rofenaid 40,Zoetis Inc.,2
351,N,055-021,Hetacin K Capsules Vet,Boehringer lngelheim Animal Health USA Inc.,1
1599,A,200-679,Optigrid 45,Huvepharma EOOD,1
1241,A,200-117,"Oxytetracycline Injection, Oxytetracycline Injection",Bimeda Animal Health Limited,1
850,N,140-974,Ivomec Premix for Swine,Boehringer lngelheim Animal Health USA Inc.,1
1094,N,141-393,None (Med Gas),"Aspen Air, US Corp",2
608,N,111-607,Droncit 5.68% Injectible Solution,Elanco US Inc.,1
1466,A,200-488,Ampromed P for Poultry,Bimeda Animal Health Limited,1
342,N,049-892,Sulfamethazine Spanbolet II,Zoetis Inc.,1
820,N,140-879,Derma 4 Ointment,Zoetis Inc.,4
1103,N,141-405,None (Med Gas),Praxair Distribution Inc.,2
939,N,141-174,Acarexx,Boehringer lngelheim Animal Health USA Inc.,1
655,N,122-578,Hyvisc,Anika Therapeutics,1
1028,N,141-289,Aviax II plus Stafac,Phibro Animal Health Corp.,2
526,N,098-569,Medacide-SDM Injection 10%,Cronus Pharma Specialities India Private Limited,1
904,N,141-095,Dectomax Pour-on Solution for Cattle,Zoetis Inc.,1
28,N,008-932,Kemithal L.A.,Zoetis Inc.,1
1131,N,141-442,LUTALYSE HighCon Injection,Zoetis Inc.,1
1217,A,200-049,Tetra-Bac 324,Huvepharma EOOD,1
776,N,139-876,"Bovatec / MGA 100, Bovatec / MGA 200",Zoetis Inc.,2
1348,A,200-306,Oxytetracycline Injection 200,"Norbrook Laboratories, Ltd.",1
488,N,093-688,Ripercol L-Piperazine,Zoetis Inc.,2
630,N,117-689,Neurosyn Tablets,Cronus Pharma Specialities India Private Limited,1
992,N,141-244,Draxxin,Zoetis Inc.,1
767,N,139-075,Cygro,Zoetis Inc.,1
1015,N,141-274,Etogesic Sterile Injectable Solution,Boehringer lngelheim Animal Health USA Inc.,1
496,N,095-184,Conofite Lotion 1%,Intervet Inc.,1
1018,N,141-277,Comfortis,Elanco US Inc.,1
91,N,012-491,"Tylan 10, Tylan 40, Tylan 100, Tylan 100 CAL",Elanco US Inc.,1
844,N,140-942,Flavomycin / Maxiban,Elanco US Inc.,3
263,N,042-841,Amforol Veterinary Oral Tablets,Zoetis Inc.,3
702,N,132-028,Anestatal,Cronus Pharma Specialities India Private Limited,1
1196,N,141-541,STELFONTA,QBiotics Group Ltd.,1
149,N,030-578,E-Z-EX Wormer Pellets,ADM Animal Nutrition,1
1166,N,141-491,Coban and LINCOMIX,Zoetis Inc.,2
391,N,065-010,Norocillin,"Norbrook Laboratories, Ltd.",1
79,N,011-948,Hygromix 2.4,Elanco US Inc.,1
798,N,140-818,Producil For Swine,Boehringer lngelheim Animal Health USA Inc.,1
907,N,141-098,"PropoFlo, PropoFlo 28",Zoetis Inc.,1
1104,N,141-406,NexGard,Boehringer lngelheim Animal Health USA Inc.,1
36,N,009-809,Nolvasan Cap-Tabs,Zoetis Inc.,1
603,N,111-104,Furall,Farnam Companies Inc.,1
815,N,140-863,"Paylean 45, Paylean 9",Elanco US Inc.,1
632,N,118-123,"Compudose 200, Encore (Compudose 400 )",Elanco US Inc.,2
613,N,112-050,Levasole,Intervet Inc.,1
324,N,048-237,Equigel,Cronus Pharma Specialities India Private Limited,1
772,N,139-236,Anased,Akorn Animal Health Inc.,1
7,N,006-391,S.Q. 40%,Huvepharma EOOD,1
1007,N,141-264,Nuflor,Intervet Inc.,1
453,N,091-191,Garacin,Intervet Inc.,1
614,N,112-051,"Levamisole Soluble Drench Powder, Levasole, Levasole Soluble Drench Powder, Tramisol Soluble Drench Powder",Intervet Inc.,1
1417,A,200-397,Vetprofen,Belcher Pharmaceuticals Inc.,1
217,N,038-160,"Maolate Tablets, Maolate Veterinary",Zoetis Inc.,1
1253,A,200-137,GentaMax 100,Elanco US Inc.,1
396,N,065-066,Tetrachel-Vet Tablets 100,Zoetis Inc.,1
864,N,141-011,Denagard plus CTC,Elanco US Inc.,2
504,N,096-298,"Avatec, Bovatec 150 FP, Bovatec 68 Type A Medicated Article, Bovatec 91, Bovatec Liquid 20 (liquid Type A Article)",Zoetis Inc.,1
384,N,055-095,Ticillin,Zoetis Inc.,1
311,N,047-033,S.E.Z. C-R Oblets 15 Gm,Zoetis Inc.,1
1309,A,200-245,Derma-Vet Cream,Med-Pharmex Inc.,4
521,N,098-340,Flavomycin / Monensin,Huvepharma EOOD,2
686,N,129-831,"Banminth-P Paste, Strongid Paste",Zoetis Inc.,1
1593,A,200-673,Revolt,Aurora Pharmaceutical Inc.,1
206,N,035-688,Aureomix S 40/40 Granular,Zoetis Inc.,2
967,N,141-213,Metacam Oral Suspension,Boehringer lngelheim Animal Health USA Inc.,1
1219,A,200-055,VetaKet,Akorn Animal Health Inc.,1
1244,A,200-123,"Maxim-200 Injection, Oxytetracycline Hydrochloride Injection 200mg",Huvepharma EOOD,1
1349,A,200-308,Flunixin Injection,"Norbrook Laboratories, Ltd.",1
588,N,107-996,Avatec / Fortracin Premix,Zoetis Inc.,2
1545,A,200-609,DIROBAN,Anzac Animal Health LLC,1
316,N,047-712,"Bizolin-100, Bizolin-200",Cronus Pharma Specialities India Private Limited,1
1179,N,141-518,BRAVECTO PLUS,Intervet Inc.,2
1434,A,200-433,Pributazone,First Priority Inc.,1
1248,A,200-128,Agrimycin - 200,Huvepharma EOOD,1
1567,A,200-643,Monovet and Tylan,Huvepharma EOOD,2
1069,N,141-354,None (Med Gas),Air Liquide Industrial U.S. L.P.,2
1360,A,200-321,Primectin Equine Oral Liquid,First Priority Inc.,1
763,N,138-955,Tylosin Injection,Huvepharma EOOD,1
920,N,141-130,BMD and Zoamix,Zoetis Inc.,2
1142,N,141-457,ENTYCE,Elanco US Inc.,1
1293,A,200-224,"Component T-H with Tylan, Component T-S with Tylan",Elanco US Inc.,2
189,N,034-393,Coyden 25,Huvepharma EOOD,1
190,N,034-477,Jenotone Solution,Intervet Inc.,1
629,N,117-532,PromAce,Boehringer lngelheim Animal Health USA Inc.,1
243,N,040-848,Atgard C Swine Wormer,Cronus Pharma Specialities India Private Limited,1
1454,A,200-467,Sevoflurane,Dechra Veterinary Products LLC,1
499,N,095-543,"Amprol HI-E & Bambermycins, Amprol HI-E / Flavomycin",Huvepharma EOOD,3
42,N,010-424,Nalline Hydrochloride,Boehringer lngelheim Animal Health USA Inc.,1
1206,A,200-023,Gentamicin Sulfate Solution 100 mg/ml,Cronus Pharma Specialities India Private Limited,1
100,N,013-022,Thibenzole Sheep & Goat Wormer,Boehringer lngelheim Animal Health USA Inc.,1
1146,N,141-461,Nocita,Elanco US Inc.,1
1448,A,200-456,Dexamethasone Solution,Med-Pharmex Inc.,1
660,N,125-476,MGA 500 plus Rumensin,Zoetis Inc.,2
485,N,093-515,Spectam Tablets,Bimeda Animal Health Limited,1
251,N,041-650,Aureomix S 700-E,Zoetis Inc.,2
437,N,065-480,Chlortetracycline hydrochloride soluble powder,Pharmgate Inc.,1
77,N,011-893,Dermathycin Injectable,Intervet Inc.,1
1383,A,200-352,"Primex 2-X, Primex Canine",First Priority Inc.,1
517,N,097-288,Imizol Equine Injection,Intervet Inc.,1
933,N,141-154,BMD / Robenz,Zoetis Inc.,2
1058,N,141-338,INTERCEPTOR PLUS,Elanco US Inc.,2
635,N,118-550,Furos-A-Vet,Bimeda Animal Health Limited,1
440,N,065-485,Neosporin Ophthalmic Ointment,Intervet Inc.,3
420,N,065-256,CHLORTET-SOLUBLE-O,Pharmgate Inc.,1
1144,N,141-459,BRAVECTO,Intervet Inc.,1
1463,A,200-483,Heifermax 500 plus Zilmax,Elanco US Inc.,2
866,N,141-015,Enacard Tablets For Dogs,Boehringer lngelheim Animal Health USA Inc.,1
883,N,141-061,Dectomax Injectable Solution for Cattle and Swine,Zoetis Inc.,1
875,N,141-043,"SYNOVEX Choice, SYNOVEX PLUS",Zoetis Inc.,2
984,N,141-233,Optaflexx and Rumensin and Tylanand MGA,Elanco US Inc.,4
201,N,035-265,Diquel Solution,Intervet Inc.,1
350,N,055-020,Aureomycin Soluble Powder,Zoetis Inc.,1
1038,N,141-303,PropoClear,Zoetis Inc.,1
1514,A,200-559,Actogain 45 plus Rumensin,Zoetis Inc.,2
824,N,140-890,"Excenel Sterile Suspension, Excenel RTU, Excenel Sterile Powder",Zoetis Inc.,1
1133,N,141-444,Zycortal Suspension,"Dechra, Ltd.",1
319,N,047-933,Coban plus Baciferm,Elanco US Inc.,2
746,N,138-255,Iron Hydrogenated Dextran Injection,Sparhawk Laboratories Inc.,1
1420,A,200-407,Lincomycin-Spectinomycin Water Soluble Powder,Huvepharma EOOD,2
582,N,107-085,Tramisol,Zoetis Inc.,1
356,N,055-039,Aureomycin Soluble Oblets,Huvepharma EOOD,1
806,N,140-846,PrimeX,Wildlife Laboratories Inc.,1
494,N,095-143,"Terramycin 10, Terramycin 30, Terramycin 50, Terramycin 100, Terramycin 200, Terramycin 200 Granular, Terramycin 100MR",Phibro Animal Health Corp.,1
181,N,033-887,Lincocin Tablets,Zoetis Inc.,1
245,N,041-245,"Agribon Injection 40%, Albon",Zoetis Inc.,1
963,N,141-208,Advantage DUO,Elanco US Inc.,2
275,N,044-012,Gecolate,Summit Hill Laboratories,1
1285,A,200-205,Albac / Amprol Hi-E,Zoetis Inc.,3
393,N,065-016,"Bac-Neo-Poly Ophthalmic Ointment, Vetropolycin Ophthalmic Ointment","Dechra, Ltd.",3
221,N,038-292,Gentocin Solution,Intervet Inc.,1
235,N,039-729,Therabloat,Zoetis Inc.,1
35,N,009-782,Nolvasan Antiseptic Ointment,Zoetis Inc.,1
86,N,012-258,Panolog Ointment,Zoetis Inc.,4
157,N,031-715,"Albon, Agribon Boluses - 2.5, Agribon Boluses - 5.0, Agribon Boluses - 15.0",Zoetis Inc.,1
1027,N,141-288,EXCENEL RTU EZ,Zoetis Inc.,1
868,N,141-026,Program Suspension,Elanco US Inc.,1
829,N,140-908,Veta-Meth,Lloyd Inc.,1
364,N,055-060,"Penicillin G Potassium, USP",Zoetis Inc.,1
803,N,140-841,Ivomec Pour-On,Boehringer lngelheim Animal Health USA Inc.,1
1423,A,200-415,Gentamicin Sulfate Topical Spray,First Priority Inc.,2
381,N,055-088,Amoxi-Sol,Zoetis Inc.,1
1488,A,200-527,Enrofloxacin Antibacterial Injectable Solution,Dechra Veterinary Products LLC,1
1087,N,141-383,None (Med Gas),Airgas USA LLC,2
510,N,096-675,Equiproxen 10% Solution,Zoetis Inc.,1
68,N,011-644,Felac,Zoetis Inc.,1
1459,A,200-479,Heifermax 500/Zilmax/Rumensin,Elanco US Inc.,3
948,N,141-187,Crystalyx Iono-Lyx,Ridley USA Inc.,1
827,N,140-896,Otomax,Intervet Inc.,3
1226,A,200-073,"Ketamine Hydrochloride Injection, USP",Dechra Veterinary Products LLC,1
736,N,136-740,Benzelmin Plus Paste,Zoetis Inc.,2
472,N,092-507,Robenz and Aureomycin,Zoetis Inc.,2
853,N,140-989,PARASITE-S,Syndel USA,1
394,N,065-060,Panmycin Aquadrops Liquid,Zoetis Inc.,1
1013,N,141-272,Reconcile,Pegasus Laboratories Inc.,1
1489,A,200-528,Savalan 60,Huvepharma EOOD,1
1292,A,200-223,Albac 50 Type A Medicated Article,Zoetis Inc.,1
1474,A,200-498,Carprieve Caplets,"Norbrook Laboratories, Ltd.",1
348,N,055-018,Chlortetracycline Hydrochloride Tablets,Huvepharma EOOD,1
1311,A,200-247,Tetroxy 343,Bimeda Animal Health Limited,1
330,N,048-761,"Aureomycin 50 Granular, Aureomycin 50 Granular A, Aureomycin 70 Granular, Aureomycin 80 Granular, Aureomycin 90 Granular, Aureomycin 90 Meal, Aureomycin 100 Granular",Zoetis Inc.,1
1565,A,200-639,Monovet 90,Huvepharma EOOD,1
784,N,140-339,Nicarbazin (NICARB) plus Bambermycins (FLAVOMYCIN),Huvepharma EOOD,2
135,N,030-025,"Neo-Predef with Tetracaine Top. Ointment, Tritop Topical Ointment",Zoetis Inc.,3
960,N,141-205,Program Flavor Tabs and Capstar Flea Management System,Elanco US Inc.,2
10,N,006-623,Caparsolate Sodium,Boehringer lngelheim Animal Health USA Inc.,1
1088,N,141-385,None (Med Gas),Airgas Carbonic Inc.,2
1010,N,141-267,Dexdomitor,Orion Corp.,1
11,N,006-677,20% Sulfaquinoxaline Sodium Solution,Huvepharma EOOD,1
768,N,139-189,Safe-Guard,Intervet Inc.,1
640,N,119-142,PVL Iron Dextran Injectable,Huvepharma EOOD,1
771,N,139-235,Baciferm / Bio-Cox,Zoetis Inc.,2
1059,N,141-339,OvuGel,United-AH II LLC,1
986,N,141-235,EXCEDE FOR SWINE,Zoetis Inc.,1
285,N,045-416,Tevcodyne Injectable,Elanco US Inc.,1
818,N,140-872,Posilac,Union Agener Inc.,1
617,N,113-232,"Liquamycin LA-200, Liquamycin LA-200 (Rx)",Zoetis Inc.,1
371,N,055-073,Panmycin Tablets,Zoetis Inc.,1
1387,A,200-357,Pennchlor / Bio-Cox,Pharmgate Inc.,2
701,N,131-918,Tribrissen 400 Oral Paste,Intervet Inc.,2
1458,A,200-478,Albac 50 plus Nicarb,Zoetis Inc.,2
126,N,015-151,Neo-synalar Cream,Bausch Health US LLC,2
408,N,065-122,Tetracyn Ointment,Zoetis Inc.,1
788,N,140-448,TM plus Bio-Cox,Phibro Animal Health Corp.,2
698,N,131-538,Disal,Boehringer lngelheim Animal Health USA Inc.,1
1388,A,200-358,BMD Pennchlor,Pharmgate Inc.,2
1074,N,141-361,Pulmotil AC,Elanco US Inc.,2
542,N,099-667,Imposil,Ceva Sante Animale,1
140,N,030-314,Mu-Se,Intervet Inc.,2
261,N,042-740,"Ripercol L, Tramisol Soluble Drench Powder for Sheep",Zoetis Inc.,1
474,N,092-709,Sergeants Worm Away For Dogs,Sergeant?s Pet Care Products LLC,1
166,N,033-127,"Prinzone Bolus, Pyradan Bolus, Vetisulid Bolus",Boehringer lngelheim Animal Health USA Inc.,1
227,N,038-878,"Coban 60, Coban 90",Elanco US Inc.,1
1288,A,200-213,Albac / Deccox,Zoetis Inc.,2
692,N,130-736,Coban,Elanco US Inc.,1
192,N,034-621,Salix Tablets,Intervet Inc.,1
307,N,046-789,Chloropent,Zoetis Inc.,3
754,N,138-902,"Tiox Paste, Tioxidazole Paste",Intervet Inc.,1
1251,A,200-134,FERTAGYL,Intervet Inc.,1
1432,A,200-430,HeifermaX 500 plus Bovatec and Tylan,Elanco US Inc.,3
483,N,093-512,Dirocide Tablets,Zoetis Inc.,1
1319,A,200-261,Bio-Cox / ChlorMax,Zoetis Inc.,2
1208,A,200-027,Nicarmix 25,Planalquimica Industrial Ltda.,1
1540,A,200-595,Carprieve Chewable Tablets,"Norbrook Laboratories, Ltd.",1
1229,A,200-083,Flavomycin / Sacox,Huvepharma EOOD,2
321,N,047-956,Rompun Injectable (100 mg),"Dechra, Ltd.",1
1303,A,200-237,"Isoflurane, USP",Piramal Enterprises Ltd.,1
1560,A,200-630,CocciAid,Aurora Pharmaceutical Inc.,1
18,N,007-879,Terramycin Vet Capsules,Zoetis Inc.,1
733,N,136-342,Di-Trim 400 Paste,Zoetis Inc.,2
431,N,065-441,Polyotic Soluble Powder Concentrate,Zoetis Inc.,1
1594,A,200-674,Detomequin,Modern Veterinary Therapeutics LLC,1
1380,A,200-348,Ecomectin,Huvepharma EOOD,1
1551,A,200-618,Zoletil for Injection,Virbac AH Inc.,2
1060,N,141-340,Skycis 100,Elanco US Inc.,1
1283,A,200-202,Phoenectin,Elanco US Inc.,1
208,N,035-918,"Equigard, Verdisol",Cronus Pharma Specialities India Private Limited,1
238,N,040-040,Spectam Injectable,Huvepharma EOOD,1
1265,A,200-168,PyrantelCare,Farnam Companies Inc.,1
346,N,055-012,Chloronex Sulmet,Huvepharma EOOD,2
840,N,140-929,Micotil 300,Elanco US Inc.,1
1115,N,141-419,Coyden and Flavomycin,Huvepharma EOOD,2
1037,N,141-302,EAZI-BREED CIDR Sheep Insert,Zoetis Inc.,1
341,N,049-726,Optiprime Opthakote Ophthalmic Solution,Zoetis Inc.,2
1232,A,200-095,Aureomycin / Sacox,Huvepharma EOOD,2
458,N,091-534,Neo-Delta Cortef Sterile Solution,Zoetis Inc.,2
176,N,033-654,S.E.Z. Oblets 15 G,Zoetis Inc.,1
550,N,100-808,Albamast Suspension,Zoetis Inc.,1
301,N,046-718,MGA (liquid) and TM,Zoetis Inc.,2
460,N,091-736,Telmin Equine Wormer,Intervet Inc.,1
1441,A,200-445,Primex,First Priority Inc.,1
1291,A,200-221,"Component TE-G, Component TE-G with Tylan, Component TE-ID with Tylan, Component TE-IS, Component TE-IS with Tylan, Component TE-S, Component TE-S with Tylan",Elanco US Inc.,3
1407,A,200-380,SpecLinx-50,Bimeda Animal Health Limited,2
1631,A,200-717,TiaGard 12.5%,Aurora Pharmaceutical Inc.,1
860,N,141-004,Robamox-V,Zoetis Inc.,1
927,N,141-147,Chlormax and Deccox,Zoetis Inc.,2
924,N,141-143,"Noromycin 300 LA, TETRADURE 300","Norbrook Laboratories, Ltd.",1
841,N,140-934,Valbazen,Zoetis Inc.,1
464,N,091-826,Levasole Cattle Wormer Bolus,Intervet Inc.,1
789,N,140-474,Synacid,Intervet Inc.,1
327,N,048-480,"Chloratet 100, Chloratet 50, Chloratet 90",Pharmgate Inc.,1
822,N,140-883,"Legend Injectable Solution, Legend Multi Dose",Boehringer lngelheim Animal Health USA Inc.,1
1250,A,200-130,Neo-Sol 50,Huvepharma EOOD,1
1249,A,200-129,"Isoflurane, USP",Dechra Veterinary Products LLC,1
1550,A,200-617,Deracin plus Bovatec,Pharmgate Inc.,2
1353,A,200-314,Pennchlor S,Pharmgate Inc.,2
60,N,011-437,Hydeltrone Ointment,Boehringer lngelheim Animal Health USA Inc.,2
14,N,006-891,Sul-Q-Nox,Huvepharma EOOD,1
1628,A,200-714,Barrier for cats,Aurora Pharmaceutical Inc.,2
778,N,139-879,"Carnidazole, Spartrix",Wildlife Laboratories Inc.,1
1005,N,141-262,Cerenia Tablets,Zoetis Inc.,1
524,N,098-431,"TYLAN 20, TYLAN 40",Phibro Animal Health Corp.,1
946,N,141-185,Aureomycin / Deccox,Zoetis Inc.,2
27,N,008-804,"TM-50 , TM-50 D , TM-100 , TM-100D",Phibro Animal Health Corp.,1
1471,A,200-495,Enroflox 100,"Norbrook Laboratories, Ltd.",1
604,N,111-278,Panacur Granules 22.2%,Intervet Inc.,1
323,N,048-010,"Anaplex Caps, Canine and Feline Wormer Caps",Cronus Pharma Specialities India Private Limited,2
1286,A,200-210,Albac / Sacox,Zoetis Inc.,2
929,N,141-149,Deccox and Rumensin and Tylan,Zoetis Inc.,3
442,N,065-489,Mychel-Vet Tabs,Zoetis Inc.,1
1582,A,200-658,MGA and Monovet,Huvepharma EOOD,2
858,N,141-002,"OXY 1000 Calf Bolus, OXY 500 Calf Bolus",Boehringer lngelheim Animal Health USA Inc.,1
555,N,101-331,Dog Wormer Tablets,Farnam Companies Inc.,1
257,N,041-836,Kantrim 200,Zoetis Inc.,1
561,N,101-862,Garasol Injection,Intervet Inc.,1
1148,N,141-465,Inteprity and Coban,Elanco US Inc.,2
1334,A,200-286,Phoenectin Paste 1.87%,Elanco US Inc.,1
