id,descr,category,keyword
KW-0602,"Protein involved in photosynthesis, the process in which light energy is absorbed by photosynthetic pigments (e.g. chlorophyll) and converted to chemical energy (usually ATP and NADPH, =light reaction). This energy is subsequently used as an energy source for the reduction of carbon dioxide to carbohydrate (=Calvin cycle). The general reaction is: CO(2) + 2H(2)A = (CH(2)O) + 2A + H(2)O, where 2H(2)A is any reduced compound that can serve as an electron donor. In plants, algae and cyanobacteria H(2)O serves as a reductant, generating O(2). Non-oxygenic organisms use other electron donors, for example H(2)S in purple sulfur bacteria, generating sulfur.",Biological process,Photosynthesis
KW-0510,"Protein which, if defective, causes mucopolysaccharidosis. These inherited diseases are characterized by excessive accumulation and secretion of oligomucopoloysaccharide due to the deficiency of enzymes involved in the degradation of glycosaminoglycans (mucopolysaccharides). They are progressive and often display a wide spectrum of clinical severity within one enzyme deficiency.",Disease,Mucopolysaccharidosis
KW-0451,"Protein which, if defective, causes lissencephaly, a brain malformation characterized by the absence (agyria) or reduction (pachygyria) of brain surface convolutions (gyri), in association with abnormal organisation of the cortical layers. It results from neuronal migration defects during embryogenesis. Two large groups can be distinguished: classical lissencephaly (and its variants) and cobblestone lissencephaly. Lissencephaly means ""smooth brain"".",Disease,Lissencephaly
KW-1035,"Protein found in the host cytoplasm, the content of a host cell within the plasma membrane and, in eukaryotics cells, surrounds the host nucleus.",Cellular component,Host cytoplasm
KW-0132,"Protein involved in the separation of one cell into two daughter cells. In eukaryotic cells, cell division includes the nuclear division (mitosis) and the subsequent cytoplasmic division (cytokinesis).",Biological process,Cell division
KW-0595,"Protein involved in the breakdown of phospholipids, the major lipid component of most cellular membranes. Phospholipids are usually composed of two fatty acid chains esterified to two of the carbons of glycerol phosphate, the phosphate being esterified to a hydroxyl group of another hydrophilic compound, such as choline, ethanolamine or serine.",Biological process,Phospholipid degradation
KW-1180,Viral protein that mediates fusion of an infected cell with neighboring cells leading to the formation of multi-nucleate enlarged cells called syncytia. Usually these syncytia are the result of expression of a viral fusion protein at the host cell membrane during viral replication. Viruses such as herpesviruses are known to induce the formation of syncytia.,Biological process,Syncytium formation induced by viral infection
KW-1155,"Protein which is involved in the translational shunt, an unusual translation process in which ribosomes are loaded onto mRNA at the 5'-cap structure, start scanning for a short distance before bypassing the large internal leader region and initiating at a downstream start site. Shunting operates in plants, animals, and yeast translational systems, both in vivo and in vitro.",Molecular function,Translational shunt
KW-0224,Enzyme that hydrolyzes a dipeptide into its constituent amino acids.,Molecular function,Dipeptidase
KW-9992,Keywords assigned to proteins due to their particular molecular function.,,
KW-0495,"Protein that influences the equilibrium of minerals present in bone, e.g., fetuin.",Biological process,Mineral balance
KW-0659,"Protein involved in a biochemical reaction with purines. Purines are nitrogenous heterocyclic bases, e.g. adenine, guanine, hypoxanthine and xanthine. The degradation of purines leads to uric acid, which is excreted in primates, birds and some other animals. In many other vertebrates uric acid is degraded further to the excretory product allantoin.",Biological process,Purine metabolism
KW-0955,"Protein which, if defective, causes glaucoma, a group of eye diseases characterized by pathological changes in the optic disk, progressive loss of optic nerve axons and visual field defects. Most of the patients with glaucoma have an increased intraocular pressure. The disease is painless and often diagnosed at a late stage, when visual field defects are severe. Glaucoma is one of the leading causes of blindness worldwide.",Disease,Glaucoma
KW-0980,"Protein which, if defective, causes Senior-Loken syndrome, a genetically and clinically heterogeneous disease characterized by nephronophthisis and retinal abnormalities manifesting as congenital retinal blindness or retinitis pigmentosa. Senior-Loken syndrome can be associated with manifestations such as cerebellar ataxia and skeletal abnormalities including cone epiphyses.",Disease,Senior-Loken syndrome
KW-1206,Toxin involved in fibrinogen degradation leading to a decrease of plasma fibrinogen concentration. Fibrinogenolytic toxins are mostly snake venom proteases.,Molecular function,Fibrinogenolytic toxin
KW-0272,"Protein found in the extracellular matrix. The extracellular matrix consists of any material produced by cells and secreted into the surrounding medium, but this term generally applies to the non-cellular components of animal tissues. The extracellular matrix forms a supportive meshwork around cells and is largely composed of collagen, laminin, fibronectin and glycosaminoglycans. It can influence the properties of the cells that it supports. In certain tissues, specific modifications to the extracellular matrix occur. For instance, the matrix of bone is mineralized to resist compression.",Cellular component,Extracellular matrix
KW-0921,Protein involved in the transport of nickel.,Biological process,Nickel transport
KW-0484,"Protein involved in methanogenesis, the energy yielding formation of methane by methanogenic bacteria.",Biological process,Methanogenesis
KW-0390,"Protein binding to immunoglobulin G, the main type of immunoglobulin produced towards the end of a primary immune response and in a secondary response.",Ligand,IgG-binding protein
KW-1022,"Protein which, if defective, causes congenital generalized lipodystrophy, a disorder characterized by near complete absence of adipose tissue from birth. Affected patients manifest insulin resistance, early onset diabetes mellitus, hypertriglyceridemia, hepatic steatosis and acanthosis nigricans.",Disease,Congenital generalized lipodystrophy
KW-0289,"Protein involved in the synthesis of folate, the ionic form of folic acid (Latin folium, 'leaf'), first found in spinach leaves. Folate is converted in a two-step reduction into its coenzyme form tetrahydrofolate, often abbreviated FH4 or THF, which acts as a carrier of one-carbon units at several oxidation levels in a variety of biosyntheses.",Biological process,Folate biosynthesis
KW-0069,"Protein which, if defective, causes autoimmune encephalomyelitis. This form of autoimmune inflammation of the brain and spinal cord causes demyelination.",Disease,Autoimmune encephalomyelitis
KW-0223,Enzyme that reduces molecular oxygen by incorporating both atoms into its substrate(s).,Molecular function,Dioxygenase
KW-0153,"Protein which participates in the biochemical reactions where cholesterol is involved, including transport. Cholesterol is the major sterol of higher animals and an important component of cell membranes, especially of the plasma membrane.",Biological process,Cholesterol metabolism
KW-0327,"Protein present in the glycosome, a microbody-like organelle found in all members of the protist order Kinetoplastida examined. Nine enzymes involved in glucose and glycerol metabolism are associated with these organelles. These enzymes are involved in pathways which, in other organisms, are usually located in the cytosol.",Cellular component,Glycosome
KW-0436,"Enzyme that catalyzes the joining of two molecules coupled with the breakdown of a pyrophosphate bond in ATP or a similar triphosphate. Sometimes the terms ""synthase"", ""synthetase"" or ""carboxylase"" are also used for this class of enzymes.",Molecular function,Ligase
KW-0654,"Protein containing one or more covalently linked and usually sulfated glycosaminoglycans, (e.g., chondroitin sulfate, dermatan sulfate, heparan sulfate, heparin, keratan sulfate). Glycosaminoglycans are polysaccharides made of repeating disaccharides (usually 40-100 times), which consist of uronic acid (or galactose) and hexosamines. Aggrecan, for example, is the major component in articular cartilage.",PTM,Proteoglycan
KW-0219,"Protein which, if defective, causes diabetes mellitus, a disorder of impaired carbohydrate, protein, and fat metabolism due to insufficient secretion of insulin or to target tissue insulin resistance. Diabetes mellitus can be divided into two main types, type I or insulin-dependent diabetes mellitus (IDDM), and type II, or non insulin-dependent diabetes mellitus (NIDDM). Type I diabetes mellitus normally starts in childhood or adolescence and is caused by the body's own immune system which destroys the insulin-producing beta cells in the pancreas. Classical features are polydipsia, polyphagia and polyuria, due to hyperglycemia-induced osmotic diuresis. Type II diabetes mellitus normally starts in adulthood and is caused by a lack of sensitivity to the body's own insulin. It is usually characterized by a gradual onset with minimal or no symptoms of metabolic disturbance. Both forms of diabetes mellitus lead to secondary complications (notably cardiovascular, nephropathy, retinopathy, neuropathy). Two other major subcategories of diabetes mellitus are gestational diabetes and diabetes secondary to other medical conditions. In common usage, the term diabetes, when used alone, refers to diabetes mellitus and not diabetes insipidus.",Disease,Diabetes mellitus
KW-0687,"Proteins conjugated with ribonucleic acid (RNA). Ribonucleoprotein are involved in a wide range of cellular processes. Besides ribosomes, in eukaryotic cells both initial RNA transcripts in the nucleus (hnRNA) and cytoplasmic mRNAs exist as complexes with specific sets of proteins. Processing (splicing) of the former is carried out by small nuclear RNPs (snRNPs). Other examples are the signal recognition particle responsible for targetting proteins to endoplasmic reticulum and a complex involved in termination of transcription.",Molecular function,Ribonucleoprotein
KW-0200,"Protein involved in cytadherence, the attachment of mycoplasma to the epithelium.",Biological process,Cytadherence
KW-1003,"Protein found in or associated with the cytoplasmic membrane, a selectively permeable membrane which separates the cytoplasm from its surroundings. Known as the cell inner membrane in prokaryotes with 2 membranes.",Cellular component,Cell membrane
KW-0133,"Protein involved in the formation and maintenance of the cell shape, the physical dimensions of a cell. In most plants, algae, bacteria and fungi the cell wall is responsible for the shape of the cells.",Biological process,Cell shape
KW-0914,"Protein involved in the Notch signaling, a signaling pathway involved in cell-cell communications that regulates a broad spectrum of cell-fate determinations. Notch proteins are transmembrane receptors, which are cleaved by the gamma-secretase complex upon activation and released from the cell membrane and turn into transcriptional activators after their association with SU(H) proteins.",Biological process,Notch signaling pathway
KW-1040,"Protein found in the host Golgi apparatus, a series of flattened, cisternal membranes and similar vesicles usually arranged in close apposition to each other to form stacks. In mammalian cells, the host Golgi apparatus is juxtanuclear, often pericentriolar. The stacks are connected laterally by tubules to create a perinuclear ribbon structure, the 'Golgi ribbon'. In plants and lower animal cells, the host Golgi exists as many copies of discrete stacks dispersed throughout the host cytoplasm. It is a polarized structure with, in most higher eukaryotic cells, a cis-face associated with a tubular reticular network of membranes facing the endoplasmic reticulum, the cis-Golgi network (CGN), a medial area of disk-shaped flattened cisternae, and a trans-face associated with another tubular reticular membrane network, the trans-Golgi network (TGN) directed toward the host plasma membrane and compartments of the host endocytic pathway.",Cellular component,Host Golgi apparatus
KW-0528,"Proteins, often exquisitely toxic, that inhibit neuronal function. Neurotoxins act typically against sodium channels or block or enhance synaptic transmission. Most venoms contain neurotoxic substances.",Molecular function,Neurotoxin
KW-0236,Protein involved in the inhibition of DNA replication.,Molecular function,DNA replication inhibitor
KW-0441,"Protein involved in the synthesis of lipid A (endotoxin), the hydrophobic anchor of lipopolysaccharide (LPS). Lipid A is a glucosamine-based phospholipid that makes up the outer monolayer of the outer membranes of most Gram-negative bacteria.",Biological process,Lipid A biosynthesis
KW-1152,Viral protein that is a component of the outer layer of a double or triple concentric icosahedral capsid. Outer capsids are part of reoviridae and cystoviridae virions.,Cellular component,Outer capsid protein
KW-0292,"Protein involved in fruit ripening. The fruit is the matured ovary of a plant, enclosing the seed(s). The plant hormone ethylene stimulates fruit ripening.",Biological process,Fruit ripening
KW-0108,"Protein which interferes with the function of calcium channels which are membrane proteins forming a channel in a biological membrane selectively permeable to calcium ions. They are found in various venoms from snakes, scorpions and spiders.",Molecular function,Calcium channel impairing toxin
KW-0711,"Protein which binds at least one selenium, or protein whose function is selenium-dependent. Selenium is a nonmetallic trace element, chemical symbol Se.",Ligand,Selenium
KW-0338,"Protein involved in growth arrest, a phenomenon occurring when a cell does not proceed through the cell cycle.",Biological process,Growth arrest
KW-1042,"Protein found in the host lysosome, a membrane-limited organelle present in all eukaryotic cells, which contains a large number of hydrolytic enzymes that are used for degrading almost any kind of cellular constituent, including entire organelles. The mechanisms responsible for delivering cytoplasmic cargo to the host lysosome/vacuole are known collectively as autophagy and play an important role in the maintenance of homeostasis.",Cellular component,Host lysosome
KW-1125,"Viral protein sharing sequence homology with host interleukins. Interleukins are produced by immune system cells such as lymphocytes, macrophages and monocytes, and modulate inflammation and immunity by regulating growth, mobility and differentiation of lymphoid and other cells. Several viruses encode interleukin-like proteins playing a role in immune evasion. Additionally, viral interleukins have been shown to activate cellular signaling cascades that enhance virus replication.",Biological process,Evasion of host immunity by viral interleukin-like protein
KW-1153,Viral protein that is a component of the inner layer of a double or triple concentric icosahedral capsid. Inner capsids are part of reoviridae and cystoviridae virions.,Cellular component,Inner capsid protein
KW-1132,Viral protein involved in the degradation of host mRNAs. Viruses have evolved ways of degrading host mRNAs to inhibit cellular translation. This global inhibition of cellular protein synthesis serves to ensure maximal viral gene expression and to evade host immune response. Decay of host mRNAs can be achieved by endonucleotic RNA cleavage or associated with PABPC1 nuclear relocalization.,Biological process,Decay of host mRNAs by virus
KW-0628,"Protein characteristic of the postsynaptic membrane. In a chemical synapse, the postsynaptic membrane is the membrane that receives a signal (binds neurotransmitter) from the presynaptic cell and responds via depolarisation or hyperpolarisation. The postsynaptic membrane is separated from the presynaptic membrane by the synaptic cleft.",Cellular component,Postsynaptic cell membrane
KW-1054,"Protein which, if defective, causes Niemann-Pick disease. Niemann-Pick disease comprises an inherited group of congenital lipidoses in which sphingolipids accumulate in cells, especially in the reticuloendothelial system, due to defective lysosomal storage. The disease is clinically characterized by progressive degeneration of the central nervous system with visceral accumulation of cholesterol and sphingomyelin. The clinical phenotype is highly variable and different types are distinguished by age of onset, degree of central nervous system involvement and by the amount of sphingomyelin phosphodiesterase activity.",Disease,Niemann-Pick disease
KW-0779,"Protein involved in telomere replication, length regulation, structure, etc. The telomere is a nucleoprotein structure comprising the terminal section of a eukaryotic chromosome. It has a specialized structure which is replicated by a special process, thereby counteracting the tendency of a chromosome to be shortened during each round of replication.",Cellular component,Telomere
KW-0900,"Protein which, if defective, causes a congenital disorder of glycosylation. In the endoplasmic reticulum (ER) of eukaryotes, N-linked glycans are first assembled on the lipid carrier dolichyl pyrophosphate. The GlcNAc(2)Man(9)Glc(3) oligosaccharide is transferred to selected asparagine residues of nascent polypeptides. Defects along the biosynthetic pathway of N-glycans are associated with severe multisystemic syndromes called congenital disorders of glycosylation (CDG). The characteristic biochemical feature of CDG is defective glycosylation of glycoproteins due to mutations in genes required for the biosynthesis of N-linked oligosaccharides. Defects of the assembly of dolichyl-linked oligosaccharides or their transfer on to nascent glycoproteins form type I forms of CDG, whereas CDG type II comprises all defects of the trimming and elongation of N-linked oligosaccharides.",Disease,Congenital disorder of glycosylation
KW-1233,"Virion surface protein implicated in the initial binding to a specific host adhesion molecule. Adhesion receptors can be for example proteoglycans, sialic acids or a protein receptor. This initial attachment is not sufficient for triggering virus entry into host cell. In prokaryotic viruses, the primary attachment is called reversible adsorption.",Biological process,Viral attachment to host adhesion receptor
KW-0878,"Protein specifically found in the skin of animals belonging to the vertebrate class amphibia, that includes frogs, toads, newts, salamanders and worm-like apoda. The skins of anuran amphibians, in addition to mucous glands, contain highly specialized poison glands, which, in reaction to stress or attack, exude a complex noxious species-specific cocktail of biologically active molecules. These secretions often contain a plethora of peptides such as neuropeptides and hormones. The frog dermatous glands also synthesize and store an extraordinarily rich variety of wide-spectrum antimicrobial peptides that are released onto the outer layer of the skin to provide an effective and fast-acting defense against harmful microorganisms.",Molecular function,Amphibian defense peptide
KW-0514,"Characteristic protein of a muscle cell. The major ones are myosin and actin, which are responsible for the contraction and relaxation of muscles.",Molecular function,Muscle protein
KW-0698,Protein involved in the processing of the primary rRNA transcript to yield a functional rRNA. This includes the cleavage and other modifications.,Biological process,rRNA processing
KW-0534,"Protein involved in the uptake, from the environment, of nitrates, inorganic or organic salts and esters of nitric acid. This includes the uptake and transport into cells by nitrate transporters, with the sequential reduction to nitrite and ammonium, catalyzed by the enzymes nitrate reductase and nitrite reductase, respectively.",Biological process,Nitrate assimilation
KW-0844,"Protein involved in vision, the special sense by which objects in the external environment are perceived by the light they give off or reflect, which stimulates the photoreceptors in the retina.",Biological process,Vision
KW-0367,Hirschsprung's disease (HSCR); a genetic disorder of neural crest development characterized by the absence of intramural ganglion cells in the hindgut; often resulting in intestinal obstruction.,Disease,Hirschsprung disease
KW-0318,Protein which is posttranslationally modified by the attachment of a glutathione molecule by a disulfide bond.,PTM,Glutathionylation
KW-0692,"Protein involved in the repair of RNA, the various biochemical processes by which damaged RNA can be restored.",Biological process,RNA repair
KW-0222,"Protein involved in the process whereby nutrients are rendered soluble and capable of being absorbed by the organism or cell, by action of various hydrolytic enzymes that break down proteins, carbohydrates, fats, etc.",Biological process,Digestion
KW-0015,"Protein which, if defective, causes albinism, a genetically determined or environmentally induced absence of pigmentation in animals normally pigmented. This can lead for example to lack of pigmentation in hair, skin and eyes.",Disease,Albinism
KW-0662,Protein involved in the biosynthesis of the pyridine nucleotides NAD and NADP. NAD may be synthesized de novo from aspartate and dihydroxyacetone phosphate or from tryptophan. NAD may also be synthesized from nicotinamide or nicotinic acid. NADP is formed via the phosphorylation of NAD by NAD+ kinase.,Biological process,Pyridine nucleotide biosynthesis
KW-0520,"Enzymes which use NAD(H) as an electron acceptor or as a cofactor. Nicotinamide adenine dinucleotide, an important redox coenzyme that participates in a variety of enzymatic reactions in which it serves as an electron carrier by being alternately oxidized (NAD+) and reduced (NADH). NAD also functions as an ADP-ribose donor in ADP-ribosylation reactions.",Ligand,NAD
KW-0029,Protein involved in the transport of amino acids.,Biological process,Amino-acid transport
KW-1033,"Protein found in or associated with the prokaryotic cell outer membrane, a selectively permeable membrane which separates the prokaryotic periplasm from its surroundings in prokaryotes with 2 membranes. Traditionally only Gram-negative bacteria were thought of as having an outer membrane, but recent work has shown some Actinobacteria, including Mycobacterium tuberculosis, as well as at least 1 archaea (Ignicoccus hospitalis) have a cell outer membrane.",Cellular component,Host cell outer membrane
KW-0025,Protein for which at least two isoforms exist due to distinct pre-mRNA splicing events.,Coding sequence diversity,Alternative splicing
KW-0912,"The congenital muscular dystrophies (CMD) are a heterogeneous group of disorders characterized by hypotonia, muscle weakness, dystrophic changes on skeletal muscle biopsy, and joint contractures that present at birth or during the first 6 months of life. Mental retardation with or without structural brain changes are defects, with or without mental retardation, are additional features of several CMD syndromes.",Disease,Congenital muscular dystrophy
KW-0517,"Protein involved in the differentiation and development of the muscle. Myogenesis is controlled by myogenic factors, a family of muscle-specific transcription factors that contain a conserved helix-loop-helix domain which is homologous to the myc family of proteins.",Biological process,Myogenesis
KW-1225,"Viral protein involved in the evasion of host innate defenses by inhibiting the Toll-like recognition receptor (TLR) pathway. This pathway usually starts with the recognition of viruses by host TLRs including TLR3 or TLR4. Then, the signal is transmitted through MYD88 (or TRIF) and then to TBK1 leading to the activation and nuclear localization of transcription factors IRF3 and/or IRF7 to induce IFNalpha/beta transcription and production of proinflammatory cytokines through activation of the NF-kappaB signaling pathway. Many viruses interact with components of this pathway to inhibit production of interferons and establishment of the antiviral state.",Biological process,Inhibition of host TLR pathway by virus
KW-0622,"Protein which, if defective, causes neuropathy, a functional disturbance or pathological change in the peripheral nervous system, sometimes limited to non-inflammatory lesions as opposed to those of neuritis. Neuropathies affecting a specific nerve may be named for the nerve. The terms mononeuropathy and polyneuropathy may be used to denote whether one or several nerves are involved.",Disease,Neuropathy
KW-0611,"Protein involved in plant defense, either as part of preexisting, developmentally regulated defense barriers (such as thionins, defensins or hydroxyproline-rich glycoproteins fortifying the cell wall) or as components of the defense responses induced upon pathogen infection during hypersensitive cell death (HR), local acquired resistance (LAR) or systemic acquired resistance (SAR). This includes proteins involved in various pathways, such as the gene-for-gene resistance, the salicylic acid (SA)-dependant resistance, the jasmonate (JA) and/or ethylene (ET)-dependant resistance and the induced systemic resistance (ISR), as well as the final products of those pathways such as the pathogenesis-related proteins.",Biological process,Plant defense
KW-1192,"Viral protein involved in suppressing host mRNAs expression to maximize expression of viral mRNAs. Decimating cellular mRNAs eventually leads to shutoff of host proteins expression and gives virus transcripts a competitive edge for access to the cellular translation machinery. Preventing the expression of host proteins is also a strategy to counteract the antiviral response. Suppression of host mRNA can be performed by interfering with host pre-mRNA processing function (splicing or polyadenylation), by degrading mRNAs or blocking their export from the nucleus to the cytoplasm.",Biological process,Host mRNA suppression by virus
KW-0723,Protein which catalyzes the phosphorylation of serine or threonine residues on target proteins by using ATP as phosphate donor. Such phosphorylation may cause changes in the function of the target protein. Protein kinases share a conserved catalytic core common to both serine/ threonine and tyrosine protein kinases.,Molecular function,Serine/threonine-protein kinase
KW-0732,"Protein which has a signal sequence, a peptide usually present at the N-terminus of proteins and which is destined to be either secreted or part of membrane components. The signal sequence (usually 20-30 amino acids long) interacts with the signal recognition particle and directs the ribosome to the endoplasmic reticulum where co-translational insertion takes place. Signal peptides are highly hydrophobic but have some positively charged amino acids. Normally, the signal sequence is removed from the growing peptide chain by specific peptidases (signal peptidases) located on the cisternal face of the endoplasmic reticulum.",Domain,Signal
KW-0128,"Protein participating the biochemical reactions in which catecholamines are involved. Catecholamines are amine derivatives of catechol (2-hydroxyphenol). They are synthesized from the amino acid tyrosine (Tyr) in sympathetic-nerve terminals and in the adrenal gland. Catecholamines act as hormones or neuro-transmitters, e.g. adrenaline, noradrenaline and dopamine.",Biological process,Catecholamine metabolism
KW-0348,"Protein which causes agglutination of erythrocytes or other cell types: In viruses, a protein which is responsible for attaching the virus to cell receptors and for initiating infection.",Molecular function,Hemagglutinin
KW-1259,"Viral protein that counteracts the translation shutoff set up by the bacterial host in order to inhibit viral replication. This antiviral defense system alters a crucial cellular process thereby blocking virus multiplication and ending up with host dormancy or even cell death. For example, some E.coli strains infected by bacteriophage T4 activate an anticodon nuclease which causes depletion of tRNA(Lys) and, consequently, abolishes T4 protein synthesis and causes cell death. However, this effect is counteracted by the repair of tRNA(Lys) in consecutive reactions catalyzed by the viral enzymes polynucleotide kinase and RNA ligase. The ToxIN system functions as a toxin-antitoxin (TA) tandem which is used as a antiviral defense mechanism.",Biological process,Evasion of bacteria-mediated translation shutoff by virus
KW-0859,Protein involved in the biochemical reactions with the 5-carbon sugars xylose or xylulose. Xylose is the second most abundant sugar found in hardwood and agricultural residues.,Biological process,Xylose metabolism
KW-1077,"Viral protein involved in the modulation of host cell cycle progression by dysregulating the G0/G1 transition. Some viruses benefit from keeping cells in resting state (G0), while others favor entry through G1 and subsequent cell division to replicate more efficiently.",Biological process,G0/G1 host cell cycle checkpoint dysregulation by virus
KW-1258,"Viral anti-restriction protein that counteracts the host restriction-modification (R-M) system. R-M system is a prokaryotic host defense system that recognizes incoming unmodified viral DNA and rapidly degrades it. Methylation and phosphorothioation (S-modification) are two known modifications used by the host to to label its genomic DNA as 'self'. Many prokaryotic viruses have evolved antirestriction strategies such as expressing their own methylase, stimulating the host methylase so that it confers protection to the virus genome or shutting down host restriction endonuclease.",Biological process,Restriction-modification system evasion by virus
KW-0830,"Protein which interacts with ubiquinone. This fat soluble benzoquinone has a long isoprenoid side chain, which varies in length depending on the species. For example, S.cerevisiae has CoQ-6, E.coli has CoQ-8, rat and R.capsulatus have CoQ-9 and S.pombe, G.suboxydans and humans have CoQ-10. Ubiquinone is a carrier of hydrogen atoms (protons plus electrons) and functions as an ubiquitous coenzyme in redox reactions, where it is first reduced to the enzyme-bound intermediate radical semiquinone and in a second reduction to ubiquinol (Dihydroquinone; CoQH2). Ubiquinone is not tightly bound or covalently linked to a protein complex but is very mobile.",Ligand,Ubiquinone
KW-0958,"Protein which, if defective, causes peroxisome biogenesis disorder, a group of peroxisomal disorders arising from a failure of protein import into the peroxisomal membrane or matrix. The PBD group is comprised of four disorders: Zellweger syndrome (ZWS), neonatal adrenoleukodystrophy (NALD), infantile Refsum disease (IRD), and classical rhizomelic chondrodysplasia punctata type 1 (RCDP1). ZWS, NALD and IRD are distinct from RCDP1 and constitute a clinical continuum of overlapping phenotypes known as Zellweger spectrum. The PBD group is genetically heterogeneous with at least 12 distinct genetic groups as concluded from complementation studies.",Disease,Peroxisome biogenesis disorder
KW-0406,"Protein involved in the transport of ions. Such proteins are usually transmembrane and mediate a movement of ions across cell membranes. Transport may be passive (facilitated diffusion; down the electrochemical gradient), or active (against the electrochemical gradient). Active transport requires energy which may come from light, oxidation reactions, ATP hydrolysis, or cotransport of other ions or molecules.",Biological process,Ion transport
KW-0474,"Protein involved in the synthesis of menaquinone, a derivative of 2-methyl-1,4-naphthoquinone in which the 3-position is substituted with a variable-length polyisoprene chain. In mammals, menaquinone is an important component of the blood coagulation system. Mammals need to obtain this vitamin by their diet or from the bacterial flora of the gut.",Biological process,Menaquinone biosynthesis
KW-0230,Specific recombinases which catalyze the inversion of a DNA segment within a nucleoprotein structure termed invertasome.,Molecular function,DNA invertase
KW-0278,"Protein involved in fertilization, the union of two haploid cells, the gametes, to form a diploid cell, the zygote.",Biological process,Fertilization
KW-0503,Enzymes that reduce molecular oxygen by incorporating one oxygen atom into its substrate and the other one in water.,Molecular function,Monooxygenase
KW-0940,"Protein which, if defective, causes short QT syndrome, a heart disorder characterized by the presence of a short QT interval on ECG, associated with syncope, palpitations, cardiac arrest and sudden death.",Disease,Short QT syndrome
KW-0449,"Protein which is posttranslationally modified by the attachment of at least one lipid or fatty acid, e.g. farnesyl, palmitate and myristate.",PTM,Lipoprotein
KW-0547,"Protein which binds a nucleotide, a phosphate ester of a nucleoside consisting of a purine or pyrimidine base linked to ribose or deoxyribose phosphates.",Ligand,Nucleotide-binding
KW-0863,"Protein which contains at least one zinc finger. A small, functional, independently folded domain that requires coordination of one or more zinc ions to stabilize its structure. Zinc fingers vary widely in structure, as well as in function, which ranges from DNA or RNA binding to protein-protein interactions and membrane association.",Domain,Zinc-finger
KW-1062,"Protein which, if defective, causes Cushing syndrome, a condition caused by prolonged exposure to excess levels of cortisol from endogenous or exogenous sources. Endogenous Cushing syndrome is due to excess production of cortisol by the adrenal glands. It may be caused by pituary hypersecretion of adrenocorticotropic hormone (ACTH), ectopic ACTH secretion by non-pituary tumors, or may result from cortisol hypersecretion by adrenal gland tumors (ACTH-independent Cushing syndrome). Cushing syndrome is clinically characterized by upper body obesity, osteoporosis, hypertension, diabetes mellitus, hirsutism, amenorrhea, and excess body fluid.",Disease,Cushing syndrome
KW-0078,"Peptidic antibiotic, often plasmid encoded, produced by specific strains of bacteria that is lethal against other strains of the same or related species. E.g. bacteriocin, colicin, lantibiotic.",Molecular function,Bacteriocin
KW-1081,"Viral protein sharing sequence similarity with host BCL2 protein. Cellular BCL2 family members are divided in two groups, some having anti-apoptotic activity (such as BCL2 itself) while others have pro-apoptotic function (such as BAX). If the level of proapoptotic members are higher than inhibitors, then the cell undergoes apoptosis. So far, all viral homologues display anti-apoptotic activity.",Biological process,Inhibition of host apoptosis by viral BCL2-like protein
KW-1190,"Viral protein which prevents host gene expression by blocking for example host transcription, mRNA export or translation. This gives virus transcripts a competitive edge to use the hijacked translation machinery. Preventing the expression of host proteins is also a strategy to counteract the antiviral response.",Biological process,Host gene expression shutoff by virus
KW-0536,"Protein involved in nodulation, the formation of nitrogen-fixing nodules on roots of both leguminous plants and the Parasponia genus.",Biological process,Nodulation
KW-0081,"Enzyme, e.g. lysozyme or endopeptidase, essential for lysis of bacterial cell walls.",Molecular function,Bacteriolytic enzyme
KW-0321,"Protein involved in the biochemical reactions with glycogen, a branched polymer of D-glucose (mostly -(1-4) linked, but with some - (1-6) linked residues at branch points). Glycogen is the major short term storage polymer of animal cells and is particularly abundant in liver and to a lesser extent in muscles.",Biological process,Glycogen metabolism
KW-0082,"Protein having a peptide stretch which contains specific cleavage sites for different proteinases, and which enables inhibition of all four classes of proteinases.",Domain,Bait region
KW-1141,"Viral protein that forms an icosahedral capsid with a T=2* symmetry to protect the viral genome. The T=2* capsid is composed of 120 subunits. The T=2* symmetry does not exist under the rules described by Caspar and Klug, strictly speaking the capsid has a T=1 symmetry composed of 60 dimeric subunits. The capsid diameter is about 40 nm.",Cellular component,T=2 icosahedral capsid protein
KW-0265,"Protein involved in the maturation of erythrocytes, the predominant type of cells present in vertebrate blood and which contain the gas-transporting protein, hemoglobin.",Biological process,Erythrocyte maturation
KW-0103,"Protein containing at least one bromodomain. The bromodomain is a conserved region, approximately 70 amino acids, characteristic for a class of regulatory proteins. It mediates interactions with proteins that are necessary for transcriptional activation.",Domain,Bromodomain
KW-1069,"Protein involved in the synthesis of brassinosteroids, a class of steroid plant hormones. Brassinosteroids are involved in numerous plant processes, such as cell expansion and elongation (in association with auxin), vascular differentiation, pollen elongation and pollen tube formation and protection to plants during chilling and drought stress. Brassinolide is the first isolated brassinosteroid.",Biological process,Brassinosteroid biosynthesis
KW-0229,"Protein involved in DNA integration, a process that mediates the insertion of foreign genetic material, or other duplex DNA, into a chromosome, or another replicon, in order to form a covalently linked DNA continuous with the host DNA.",Biological process,DNA integration
KW-0566,Protein involved in the synthesis of pantothenate.,Biological process,Pantothenate biosynthesis
