id,code,chemical_substance,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,l4_code,l4_name,chemical_substance_count
405,A09AA02,"multienzymes (lipase, protease etc.)",A,ALIMENTARY TRACT AND METABOLISM,A09,"DIGESTIVES, INCL. ENZYMES",A09A,"DIGESTIVES, INCL. ENZYMES",A09AA,Enzyme preparations,0
3010,L01EH03,tucatinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EH,Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors,1
2433,J01DH51,imipenem and cilastatin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01D,OTHER BETA-LACTAM ANTIBACTERIALS,J01DH,Carbapenems,2
2749,J05AX21,pentanedioic acid imidazolyl ethanamide,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AX,Other antivirals,0
4482,R03AK09,formoterol and mometasone,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03A,"ADRENERGICS, INHALANTS",R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",2
3733,N02BB54,"propyphenazone, combinations excl. psycholeptics",N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BB,Pyrazolones,1
1512,C10AX16,inclisiran,C,CARDIOVASCULAR SYSTEM,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AX,Other lipid modifying agents,1
98,A02BD10,"lansoprazole, amoxicillin and levofloxacin",A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD,Combinations for eradication of Helicobacter pylori,3
4392,R01AD04,flunisolide,R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,1
4699,R06AE03,cyclizine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AE,Piperazine derivatives,1
273,A06AB56,"senna glycosides, combinations",A,ALIMENTARY TRACT AND METABOLISM,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AB,Contact laxatives,0
2543,J01RA03,cefuroxime and metronidazole,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01R,COMBINATIONS OF ANTIBACTERIALS,J01RA,Combinations of antibacterials,2
4957,S01HA05,procaine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01H,LOCAL ANESTHETICS,S01HA,Local anesthetics,1
434,A10AE02,insulin (beef),A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10A,INSULINS AND ANALOGUES,A10AE,"Insulins and analogues for injection, long-acting",1
3523,M03CA01,dantrolene,M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03C,"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS",M03CA,Dantrolene and derivatives,1
1820,D08AJ58,"benzethonium chloride, combinations",D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AJ,Quaternary ammonium compounds,1
2238,H01BB02,oxytocin,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01B,POSTERIOR PITUITARY LOBE HORMONES,H01BB,Oxytocin and analogues,1
229,A04AD04,chlorobutanol,A,ALIMENTARY TRACT AND METABOLISM,A04,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04AD,Other antiemetics,1
2162,G03XC04,ormeloxifene,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03XC,Selective estrogen receptor modulators,1
616,A16AA04,mercaptamine,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AA,Amino acids and derivatives,1
2703,J05AP51,sofosbuvir and ledipasvir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AP,Antivirals for treatment of HCV infections,2
2035,G03AA12,drospirenone and ethinylestradiol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03AA,"Progestogens and estrogens, fixed combinations",2
2060,G03AC10,drospirenone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03AC,Progestogens,1
3993,N05CA09,vinbarbital,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CA,"Barbiturates, plain",1
4181,N07AB01,carbachol,N,NERVOUS SYSTEM,N07,OTHER NERVOUS SYSTEM DRUGS,N07A,PARASYMPATHOMIMETICS,N07AB,Choline esters,1
5259,V09CA01,technetium (99mTc) pentetic acid,V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09C,RENAL SYSTEM,V09CA,Technetium (99mTc) compounds,0
974,C01CA14,dopexamine,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,1
1208,C04AA02,buphenine,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AA,2-amino-1-phenylethanol derivatives,1
923,C01AA07,deslanoside,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,1
135,A03AB04,penthienate,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",1
3705,N02BA05,salicylamide,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BA,Salicylic acid and derivatives,1
3212,L03AA03,molgramostim,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AA,Colony stimulating factors,0
3760,N02BG12,tanezumab,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BG,Other analgesics and antipyretics,0
3232,L03AB11,peginterferon alfa-2a,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AB,Interferons,1
4164,N06CA03,fluoxetine and psycholeptics,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06C,PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,N06CA,Antidepressants in combination with psycholeptics,1
3680,N02AJ01,dihydrocodeine and paracetamol,N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AJ,Opioids in combination with non-opioid analgesics,2
4019,N05CD10,quazepam,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CD,Benzodiazepine derivatives,1
1378,C08DA51,"verapamil, combinations",C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08DA,Phenylalkylamine derivatives,1
594,A12CC10,magnesium oxide,A,ALIMENTARY TRACT AND METABOLISM,A12,MINERAL SUPPLEMENTS,A12C,OTHER MINERAL SUPPLEMENTS,A12CC,Magnesium,1
1196,C03EA04,altizide and potassium-sparing agents,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA,Low-ceiling diuretics and potassium-sparing agents,1
3517,M03BX07,tetrazepam,M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BX,Other centrally acting agents,1
4042,N05CM08,ethchlorvynol,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CM,Other hypnotics and sedatives,1
1504,C10AX08,policosanol,C,CARDIOVASCULAR SYSTEM,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AX,Other lipid modifying agents,1
2690,J05AJ04,cabotegravir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AJ,Integrase inhibitors,1
4032,N05CH01,melatonin,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CH,Melatonin receptor agonists,1
4348,P03AX07,abametapir,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03A,"ECTOPARASITICIDES, INCL. SCABICIDES",P03AX,"Other ectoparasiticides, incl. scabicides",1
3943,N05AX15,cariprazine,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AX,Other antipsychotics,1
2271,H02AB17,cortivazol,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,1
2089,G03DA03,hydroxyprogesterone,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D,PROGESTOGENS,G03DA,Pregnen (4) derivatives,1
4238,P01AB52,metronidazole and diloxanide,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AB,Nitroimidazole derivatives,1
3275,L04AA26,belimumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04AA,Selective immunosuppressants,1
3074,L01FF07,dostarlimab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01F,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FF,PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors,1
4387,R01AC08,olopatadine,R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",1
4038,N05CM04,carbromal,N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CM,Other hypnotics and sedatives,1
954,C01BD04,dofetilide,C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BD,"Antiarrhythmics, class III",1
2891,L01AA06,ifosfamide,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AA,Nitrogen mustard analogues,1
4794,S01AD06,vidarabine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,1
3214,L03AA10,lenograstim,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AA,Colony stimulating factors,1
147,A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",1
5034,S02CA06,dexamethasone and antiinfectives,S,SENSORY ORGANS,S02,OTOLOGICALS,S02C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,S02CA,Corticosteroids and antiinfectives in combination,1
1430,C09CA03,valsartan,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09C,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",C09CA,"Angiotensin II receptor blockers (ARBs), plain",1
4334,P03AC01,pyrethrum,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03A,"ECTOPARASITICIDES, INCL. SCABICIDES",P03AC,"Pyrethrines, incl. synthetic compounds",1
4746,R07AB07,almitrine,R,RESPIRATORY SYSTEM,R07,OTHER RESPIRATORY SYSTEM PRODUCTS,R07A,OTHER RESPIRATORY SYSTEM PRODUCTS,R07AB,Respiratory stimulants,1
4385,R01AC06,thonzylamine,R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",1
4594,R05CA13,cineole,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CA,Expectorants,1
260,A06AB01,oxyphenisatine,A,ALIMENTARY TRACT AND METABOLISM,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AB,Contact laxatives,1
2518,J01MA10,rufloxacin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01M,QUINOLONE ANTIBACTERIALS,J01MA,Fluoroquinolones,1
1737,D07AC11,amcinonide,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07A,"CORTICOSTEROIDS, PLAIN",D07AC,"Corticosteroids, potent (group III)",1
4941,S01GX03,spaglumic acid,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01G,DECONGESTANTS AND ANTIALLERGICS,S01GX,Other antiallergics,1
2871,J07BX02,ebola vaccines,J,ANTIINFECTIVES FOR SYSTEMIC USE,J07,VACCINES,J07B,VIRAL VACCINES,J07BX,Other viral vaccines,0
3076,L01FF09,tislelizumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01F,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FF,PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors,0
1125,C02LF01,guanethidine and diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LF,Guanidine derivatives and diuretics,1
417,A10AB04,insulin lispro,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10A,INSULINS AND ANALOGUES,A10AB,"Insulins and analogues for injection, fast-acting",1
161,A03AX01,fenpiprane,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AX,Other drugs for functional gastrointestinal disorders,1
5079,V03AB14,protamine,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,1
739,B01AX01,defibrotide,B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AX,Other antithrombotic agents,1
3502,M03BA73,"methocarbamol, combinations with psycholeptics",M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA,Carbamic acid esters,1
5189,V08AA06,ioglicic acid,V,VARIOUS,V08,CONTRAST MEDIA,V08A,"X-RAY CONTRAST MEDIA, IODINATED",V08AA,"Watersoluble, nephrotropic, high osmolar X-ray contrast media",1
1124,C02LE01,prazosin and diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LE,Alpha-adrenoreceptor antagonists and diuretics,1
4470,R03AC15,reproterol,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03A,"ADRENERGICS, INHALANTS",R03AC,Selective beta-2-adrenoreceptor agonists,1
1037,C01DX52,"prenylamine, combinations",C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01D,VASODILATORS USED IN CARDIAC DISEASES,C01DX,Other vasodilators used in cardiac diseases,1
3494,M03BA03,methocarbamol,M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA,Carbamic acid esters,1
597,A12CD02,sodium monofluorophosphate,A,ALIMENTARY TRACT AND METABOLISM,A12,MINERAL SUPPLEMENTS,A12C,OTHER MINERAL SUPPLEMENTS,A12CD,Fluoride,1
8,A01AB03,chlorhexidine,A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,1
1580,D01AE03,tribromometacresol,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AE,Other antifungals for topical use,1
5332,V09IX05,fluorodopa (18F),V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09I,TUMOUR DETECTION,V09IX,Other diagnostic radiopharmaceuticals for tumour detection,1
3077,L01FF10,retifanlimab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01F,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FF,PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors,1
2021,G02CX04,Cimicifugae rhizoma,G,GENITO URINARY SYSTEM AND SEX HORMONES,G02,OTHER GYNECOLOGICALS,G02C,OTHER GYNECOLOGICALS,G02CX,Other gynecologicals,0
941,C01BA71,"quinidine, combinations with psycholeptics",C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",1
2178,G04BD12,mirabegron,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04B,UROLOGICALS,G04BD,Drugs for urinary frequency and incontinence,1
3529,M04AB02,sulfinpyrazone,M,MUSCULO-SKELETAL SYSTEM,M04,ANTIGOUT PREPARATIONS,M04A,ANTIGOUT PREPARATIONS,M04AB,Preparations increasing uric acid excretion,1
3564,M05BX53,strontium ranelate and colecalciferol,M,MUSCULO-SKELETAL SYSTEM,M05,DRUGS FOR TREATMENT OF BONE DISEASES,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05BX,Other drugs affecting bone structure and mineralization,2
1139,C03AA06,trichlormethiazide,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03AA,"Thiazides, plain",1
4569,R03DC03,montelukast,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DC,Leukotriene receptor antagonists,1
4282,P01BF07,artemisinin and piperaquine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01B,ANTIMALARIALS,P01BF,"Artemisinin and derivatives, combinations",2
4452,R02AX02,ibuprofen,R,RESPIRATORY SYSTEM,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AX,Other throat preparations,1
2997,L01EE01,trametinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EE,Mitogen-activated protein kinase (MEK) inhibitors,1
253,A05BA07,tidiacic arginine,A,ALIMENTARY TRACT AND METABOLISM,A05,BILE AND LIVER THERAPY,A05B,"LIVER THERAPY, LIPOTROPICS",A05BA,Liver therapy,1
2526,J01MA18,pazufloxacin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01M,QUINOLONE ANTIBACTERIALS,J01MA,Fluoroquinolones,1
3370,M01AB17,bufexamac,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,1
2274,H02CA02,osilodrostat,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02C,ANTIADRENAL PREPARATIONS,H02CA,Anticorticosteroids,1
341,A07AB02,phthalylsulfathiazole,A,ALIMENTARY TRACT AND METABOLISM,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07A,INTESTINAL ANTIINFECTIVES,A07AB,Sulfonamides,1
4932,S01GA06,oxedrine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01G,DECONGESTANTS AND ANTIALLERGICS,S01GA,Sympathomimetics used as decongestants,1
4117,N06AX22,agomelatine,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AX,Other antidepressants,1
4861,S01CA11,clobetasone and antiinfectives,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CA,Corticosteroids and antiinfectives in combination,1
1171,C03BB05,mefruside and potassium,C,CARDIOVASCULAR SYSTEM,C03,DIURETICS,C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03BB,Sulfonamides and potassium in combination,1
4931,S01GA05,phenylephrine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01G,DECONGESTANTS AND ANTIALLERGICS,S01GA,Sympathomimetics used as decongestants,1
4923,S01FB01,phenylephrine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01F,MYDRIATICS AND CYCLOPLEGICS,S01FB,Sympathomimetics excl. antiglaucoma preparations,1
2198,G04BX12,phenyl salicylate,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04B,UROLOGICALS,G04BX,Other urologicals,1
1279,C05BX51,"calcium dobesilate, combinations",C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05B,ANTIVARICOSE THERAPY,C05BX,Other sclerosing agents,1
1752,D07BB02,desonide and antiseptics,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07B,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",D07BB,"Corticosteroids, moderately potent, combinations with antiseptics",1
1552,D01AA08,griseofulvin,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AA,Antibiotics,1
3156,L01XX33,celecoxib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XX,Other antineoplastic agents,1
5035,S02CA07,fludrocortisone and antiinfectives,S,SENSORY ORGANS,S02,OTOLOGICALS,S02C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,S02CA,Corticosteroids and antiinfectives in combination,1
3045,L01EX18,avapritinib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EX,Other protein kinase inhibitors,1
3182,L02AA04,fosfestrol,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02,ENDOCRINE THERAPY,L02A,HORMONES AND RELATED AGENTS,L02AA,Estrogens,1
1123,C02LC51,"clonidine and diuretics, combinations with other drugs",C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LC,Imidazoline receptor agonists in combination with diuretics,1
4626,R05DB05,pentoxyverine,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05DB,Other cough suppressants,1
4090,N06AF02,nialamide,N,NERVOUS SYSTEM,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AF,"Monoamine oxidase inhibitors, non-selective",1
1131,C02LK01,veratrum and diuretics,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LK,"Alkaloids, excl. rauwolfia, in combination with diuretics",0
155,A03AC05,tiropramide,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03AC,"Synthetic antispasmodics, amides with tertiary amines",1
1392,C09AA07,benazepril,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09A,"ACE INHIBITORS, PLAIN",C09AA,"ACE inhibitors, plain",1
2776,J06BB11,hepatitis A immunoglobulin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J06,IMMUNE SERA AND IMMUNOGLOBULINS,J06B,IMMUNOGLOBULINS,J06BB,Specific immunoglobulins,0
2533,J01MB01,rosoxacin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01M,QUINOLONE ANTIBACTERIALS,J01MB,Other quinolones,1
